fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X3_0X1_0_PX303Fg006_6X3_4X0_1,PX303Fg006_6X3_0X1_PX303Fg006_6X3_4X0,0,39,3,2,4,2,"[[False, 0, 0], [False, 0, 0], [False, 3, 0]]","[[0, 50, 250, 50], [0, 50, 250, 50], [0, 796, 250, 50]]",[]
PX303Fg006_4X4_0X0_0_PX303Fg006_4X4_3X1_0,PX303Fg006_4X4_0X0_PX303Fg006_4X4_3X1,0,55,4,2,6,3,"[[False, 4, 0], [False, 4, 0], [False, 4, 5], [False, 4, 5]]","[[0, 1210, 0, 50], [0, 1210, 0, 50], [0, 1210, 0, 1271], [0, 1210, 0, 1271]]",[]
PX303Fg006_6X4_2X1_3_PX303Fg006_6X4_4X1_2,PX303Fg006_6X4_2X1_PX303Fg006_6X4_4X1,0,26,5,3,6,3,"[[False, 0, 0], [False, 4, 0], [False, 4, 0], [False, 4, 3], [False, 4, 3]]","[[750, 50, 500, 50], [750, 1099, 500, 50], [750, 1099, 500, 50], [750, 1099, 500, 796], [750, 1099, 500, 796]]",[]
PX303Fg006_4X4_0X2_3_PX303Fg006_4X4_3X1_2,PX303Fg006_4X4_0X2_PX303Fg006_4X4_3X1,0,28,2,1,2,1,"[[False, 4, 5], [False, 4, 5]]","[[750, 1046, 500, 1271], [750, 1046, 500, 1271]]",[]
PX303Fg006_6X3_1X2_1_PX303Fg006_6X3_2X2_3,PX303Fg006_6X3_1X2_PX303Fg006_6X3_2X2,0,120,1,0,0,0,"[[False, 3, 5]]","[[250, 925, 750, 1337]]",[]
PX303Fg006_6X4_3X3_2_PX303Fg006_6X4_4X2_3,PX303Fg006_6X4_3X3_PX303Fg006_6X4_4X2,0,16,2,1,2,1,"[[False, 3, 3], [False, 3, 3]]","[[500, 911, 750, 819], [500, 911, 750, 819]]",[]
PX303Fg006_5X4_3X1_1_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_3X1_PX303Fg006_5X4_4X1,1,148,16,14,30,15,"[[False, 0, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 3]]","[[250, 50, 250, 50], [250, 937, 250, 50], [250, 937, 250, 50], [250, 937, 250, 866], [290, 937, 290, 50], [290, 937, 290, 50], [330, 937, 330, 50], [330, 937, 330, 50], [370, 937, 370, 50], [370, 937, 370, 50], [380, 937, 380, 50], [380, 937, 380, 50], [420, 937, 420, 50], [420, 937, 420, 50], [460, 937, 460, 50], [460, 937, 460, 50]]",[]
PX303Fg006_4X4_0X0_2_PX303Fg006_4X4_2X0_3,PX303Fg006_4X4_0X0_PX303Fg006_4X4_2X0,0,52,4,3,2,1,"[[False, 0, 0], [False, 0, 0], [False, 4, 0], [False, 4, 0]]","[[500, 50, 750, 50], [500, 50, 750, 50], [500, 1210, 750, 50], [500, 1210, 750, 50]]",[]
PX303Fg006_5X4_2X3_3_PX303Fg006_5X4_3X0_0,PX303Fg006_5X4_2X3_PX303Fg006_5X4_3X0,0,27,2,2,0,0,"[[False, 0, 0], [False, 0, 0]]","[[750, 50, 0, 50], [750, 50, 0, 50]]",[]
PX303Fg006_5X3_3X2_5_PX303Fg006_5X3_4X0_3,PX303Fg006_5X3_3X2_PX303Fg006_5X3_4X0,0,81,3,1,4,2,"[[False, 7, 0], [False, 7, 0], [False, 7, 3]]","[[1250, 1996, 750, 50], [1250, 1996, 750, 50], [1250, 1996, 750, 873]]",[]
PX303Fg006_6X3_0X0_3_PX303Fg006_6X3_5X2_1,PX303Fg006_6X3_0X0_PX303Fg006_6X3_5X2,0,31,1,0,0,0,"[[False, 3, 1]]","[[750, 904, 250, 437]]",[]
PX303Fg006_6X4_1X3_1_PX303Fg006_6X4_5X0_0,PX303Fg006_6X4_1X3_PX303Fg006_6X4_5X0,0,7,1,1,0,0,"[[False, 0, 0]]","[[250, 50, 0, 50]]",[]
PX303Fg006_6X3_2X1_3_PX303Fg006_6X3_5X1_2,PX303Fg006_6X3_2X1_PX303Fg006_6X3_5X1,0,57,2,1,2,1,"[[False, 5, 0], [False, 5, 0]]","[[750, 1432, 500, 50], [750, 1432, 500, 50]]",[]
PX303Fg006_5X4_0X2_2_PX303Fg006_5X4_3X0_3,PX303Fg006_5X4_0X2_PX303Fg006_5X4_3X0,0,27,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[500, 50, 750, 50], [500, 583, 750, 50]]",[]
PX303Fg006_4X3_0X0_3_PX303Fg006_4X3_3X1_4,PX303Fg006_4X3_0X0_PX303Fg006_4X3_3X1,0,57,4,3,2,1,"[[False, 0, 0], [False, 0, 0], [False, 4, 0], [False, 4, 0]]","[[750, 50, 1000, 50], [750, 50, 1000, 50], [750, 1178, 1000, 50], [750, 1178, 1000, 50]]",[]
PX303Fg006_4X3_0X1_0_PX303Fg006_4X3_1X0_4,PX303Fg006_4X3_0X1_PX303Fg006_4X3_1X0,0,36,2,1,2,1,"[[False, 4, 0], [False, 4, 0]]","[[0, 1099, 1000, 50], [0, 1099, 1000, 50]]",[]
PX303Fg006_4X3_2X0_4_PX303Fg006_4X3_3X1_2,PX303Fg006_4X3_2X0_PX303Fg006_4X3_3X1,0,80,4,2,6,3,"[[False, 4, 0], [False, 4, 0], [False, 4, 5], [False, 4, 5]]","[[1000, 1068, 500, 50], [1000, 1068, 500, 50], [1000, 1068, 500, 1484], [1000, 1068, 500, 1484]]",[]
PX303Fg006_5X3_2X1_1_PX303Fg006_5X3_3X0_4,PX303Fg006_5X3_2X1_PX303Fg006_5X3_3X0,0,31,2,1,2,1,"[[False, 3, 0], [False, 3, 0]]","[[250, 876, 1000, 50], [250, 876, 1000, 50]]",[]
PX303Fg006_4X3_0X2_1_PX303Fg006_4X3_1X0_3,PX303Fg006_4X3_0X2_PX303Fg006_4X3_1X0,0,73,4,3,6,3,"[[False, 0, 0], [False, 0, 0], [False, 3, 0], [False, 3, 0]]","[[250, 50, 750, 50], [250, 50, 750, 50], [250, 968, 750, 50], [250, 968, 750, 50]]",[]
PX303Fg006_6X3_0X1_1_PX303Fg006_6X3_4X1_5,PX303Fg006_6X3_0X1_PX303Fg006_6X3_4X1,0,11,1,0,0,0,"[[False, 3, 0]]","[[250, 796, 1250, 50]]",[]
PX303Fg006_5X3_0X1_2_PX303Fg006_5X3_4X0_1,PX303Fg006_5X3_0X1_PX303Fg006_5X3_4X0,0,22,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 250, 50]]",[]
PX303Fg006_4X3_1X1_5_PX303Fg006_4X3_3X0_2,PX303Fg006_4X3_1X1_PX303Fg006_4X3_3X0,0,34,2,1,2,1,"[[False, 4, 0], [False, 4, 0]]","[[1250, 1143, 500, 50], [1250, 1143, 500, 50]]",[]
PX303Fg006_5X4_2X1_3_PX303Fg006_5X4_4X3_2,PX303Fg006_5X4_2X1_PX303Fg006_5X4_4X3,0,49,1,0,0,0,"[[False, 4, 3]]","[[750, 1106, 500, 791]]",[]
PX303Fg006_5X3_0X1_1_PX303Fg006_5X3_2X1_1,PX303Fg006_5X3_0X1_PX303Fg006_5X3_2X1,0,14,1,0,0,0,"[[False, 2, 0]]","[[250, 733, 250, 50]]",[]
PX303Fg006_4X4_1X3_2_PX303Fg006_4X4_2X2_3,PX303Fg006_4X4_1X3_PX303Fg006_4X4_2X2,0,11,2,1,2,1,"[[False, 6, 0], [False, 6, 0]]","[[500, 1543, 750, 50], [500, 1543, 750, 50]]",[]
PX303Fg006_6X4_3X0_2_PX303Fg006_6X4_5X0_3,PX303Fg006_6X4_3X0_PX303Fg006_6X4_5X0,0,43,2,0,2,1,"[[False, 4, 0], [False, 4, 2]]","[[500, 1049, 750, 50], [500, 1049, 750, 709]]",[]
PX303Fg006_6X4_1X0_0_PX303Fg006_6X4_5X0_0,PX303Fg006_6X4_1X0_PX303Fg006_6X4_5X0,0,60,4,2,6,3,"[[False, 4, 0], [False, 4, 0], [False, 4, 2], [False, 4, 2]]","[[0, 1026, 0, 50], [0, 1026, 0, 50], [0, 1026, 0, 709], [0, 1026, 0, 709]]",[]
PX303Fg006_5X4_1X2_2_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_1X2_PX303Fg006_5X4_4X1,0,42,4,2,6,3,"[[False, 5, 0], [False, 5, 0], [False, 5, 3], [False, 5, 3]]","[[500, 1352, 250, 50], [500, 1352, 250, 50], [500, 1352, 250, 866], [500, 1352, 250, 866]]",[]
