File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,0,250,7000,0.638070500928,0.918687894006,0.753087501095,2570,0.197571428571
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,5,250,5000,0.653728294178,0.779130434783,0.710941839245,2041,0.262
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,10,250,5000,0.631101021566,0.676869565217,0.653184526307,2041,0.2948
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,20,250,5000,0.620484908461,0.654260869565,0.636925421146,2041,0.316
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,40,250,5000,0.539588948787,0.557043478261,0.548177306178,2041,0.3568
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,80,250,5000,0.502367346939,0.535130434783,0.518231578947,2041,0.3918
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,120,250,5000,0.521410967344,0.588695652174,0.553014213364,2041,0.3804

PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,0,250,7000,0.423084138449,0.972509702458,0.589646382116,2482,0.447857142857
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,5,250,5000,0.450850817776,0.948722405701,0.611232431827,2037,0.4676
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,10,250,5000,0.440706057844,0.924387276204,0.596857463524,2037,0.4834
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,20,250,5000,0.426291609575,0.919346427951,0.582488986784,2037,0.5058
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,40,250,5000,0.42485646741,0.874674083087,0.571915667443,2037,0.4994
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,80,250,5000,0.43110367893,0.896228054928,0.582171286626,2037,0.487
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,120,250,5000,0.42671284954,0.877976707805,0.57430358158,2037,0.4938
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,0,250,7000,0.679965239374,0.954530331596,0.794186851211,2352,0.158857142857
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,5,250,5000,0.696396928529,0.835133699309,0.759481439729,1940,0.2194
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,10,250,5000,0.677384280833,0.77226846113,0.721721141911,1940,0.2468
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,20,250,5000,0.692647871752,0.665663183991,0.678887484197,1940,0.2622
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,40,250,5000,0.56050338819,0.61519390827,0.586576614605,1940,0.3406
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,80,250,5000,0.515630367571,0.531609704268,0.523498125381,1940,0.3606
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,120,250,5000,0.494971406034,0.444483796706,0.468370964732,1940,0.3948
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,0,250,7000,0.808225729316,0.902874238701,0.852932270112,2570,0.114285714286
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,5,250,5000,0.768386980759,0.743130434783,0.755547696932,2041,0.2096
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,10,250,5000,0.802768903088,0.65547826087,0.721685016754,2041,0.2166
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,20,250,5000,0.718514671514,0.481217391304,0.576398291845,2041,0.2976
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,40,250,5000,0.614921465969,0.40852173913,0.490909090909,2041,0.333
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,80,250,5000,0.62910321489,0.323304347826,0.42711085583,2041,0.3444
