fragmentAndSide,fragment,fragmentTotal,fragmentVote,devideVoteByTotal,fragmentAndSideTotal,fragmentAndSideVote,devideSideVoteBySideTotal,fragmentAndSideTrendVote,devideSideTrendVoteBySideTotal,fragmentAndSideTrendVoteStrict,devideSideTrendVoteStrictBySideTotal,fragmentAndSideTrendVoteSync,devideSideTrendVoteSyncBySideTotal,firstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,firstHorizontalFlip,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,secondHorizontalFlip,origCoordinates,class,votesOverlapMax,divideOverlapMaxBySideTotal,votesOverlapHeight,votesSupportOverlapRect,divideSupportOverlapBySideTotal,divideSupportOverlapBySideVote,prediction,frontImageCombined,backImageCombined
P593Fg001_1_P593Fg011_0,P593Fg001_P593Fg011,1568,722,0.460459184,344,161,0.468023256,160,0.465116279,1,0.002906977,0,0,P593Fg001,2185,2136,1021,1,P593Fg011,1364,2824,1898,1,[],0,21,0.061046512,50,21,0.061046512,0.130434783,1,ux593_20190105/R=P593Fg001_1_P593Fg011_0.jpg,ux593_20190105/V=P593Fg001_1_P593Fg011_0.jpg
P593Fg001_0_P593Fg011_0,P593Fg001_P593Fg011,1568,722,0.460459184,440,305,0.693181818,305,0.693181818,2,0.004545455,10,0.022727273,P593Fg001,2185,2136,1021,1,P593Fg011,1364,2824,1898,1,[],0,21,0.047727273,50,21,0.047727273,0.068852459,1,ux593_20190105/R=P593Fg001_0_P593Fg011_0.jpg,ux593_20190105/V=P593Fg001_0_P593Fg011_0.jpg
P593Fg004_0_P593Fg015_0,P593Fg004_P593Fg015,988,230,0.232793522,247,104,0.421052632,104,0.421052632,1,0.004048583,0,0,P593Fg004,1399,2862,1709,1,P593Fg015,1184,2802,1572,1,[],0,20,0.08097166,100,27,0.109311741,0.259615385,1,ux593_20190105/R=P593Fg004_0_P593Fg015_0.jpg,ux593_20190105/V=P593Fg004_0_P593Fg015_0.jpg
P593Fg002_1_P593Fg004_1,P593Fg002_P593Fg004,1040,589,0.566346154,247,133,0.538461538,133,0.538461538,1,0.004048583,0,0,P593Fg002,1264,2550,1609,1,P593Fg004,1399,2862,1709,1,[],0,20,0.08097166,100,26,0.105263158,0.195488722,1,ux593_20190105/R=P593Fg002_1_P593Fg004_1.jpg,ux593_20190105/V=P593Fg002_1_P593Fg004_1.jpg
P593Fg014_0_P593Fg017_0,P593Fg014_P593Fg017,416,166,0.399038462,104,61,0.586538462,61,0.586538462,1,0.009615385,0,0,P593Fg014,921,2906,1726,1,P593Fg017,912,3079,1875,1,[],0,20,0.192307692,50,20,0.192307692,0.327868852,1,ux593_20190105/R=P593Fg014_0_P593Fg017_0.jpg,ux593_20190105/V=P593Fg014_0_P593Fg017_0.jpg
P593Fg002_1_P593Fg011_0,P593Fg002_P593Fg011,640,297,0.4640625,160,91,0.56875,91,0.56875,1,0.00625,0,0,P593Fg002,1264,2550,1609,1,P593Fg011,1364,2824,1898,1,[],0,20,0.125,50,20,0.125,0.21978022,1,ux593_20190105/R=P593Fg002_1_P593Fg011_0.jpg,ux593_20190105/V=P593Fg002_1_P593Fg011_0.jpg
P593Fg003_0_P593Fg011_0,P593Fg003_P593Fg011,736,199,0.270380435,184,99,0.538043478,99,0.538043478,2,0.010869565,4,0.02173913,P593Fg003,1542,2531,1629,1,P593Fg011,1364,2824,1898,1,[],0,20,0.108695652,50,20,0.108695652,0.202020202,1,ux593_20190105/R=P593Fg003_0_P593Fg011_0.jpg,ux593_20190105/V=P593Fg003_0_P593Fg011_0.jpg
P593Fg003_1_P593Fg010_0,P593Fg003_P593Fg010,828,272,0.328502415,198,111,0.560606061,111,0.560606061,1,0.005050505,0,0,P593Fg003,1542,2531,1629,1,P593Fg010,1293,2911,1948,1,[],0,20,0.101010101,50,20,0.101010101,0.18018018,1,ux593_20190105/R=P593Fg003_1_P593Fg010_0.jpg,ux593_20190105/V=P593Fg003_1_P593Fg010_0.jpg
P593Fg016_0_P593Fg018_0,P593Fg016_P593Fg018,832,404,0.485576923,208,71,0.341346154,71,0.341346154,3,0.014423077,1,0.004807692,P593Fg016,1044,2842,1766,1,P593Fg018,979,3152,1684,1,[],0,20,0.096153846,50,20,0.096153846,0.281690141,1,ux593_20190105/R=P593Fg016_0_P593Fg018_0.jpg,ux593_20190105/V=P593Fg016_0_P593Fg018_0.jpg
P593Fg003_1_P593Fg015_1,P593Fg003_P593Fg015,1748,324,0.185354691,437,107,0.244851259,107,0.244851259,3,0.006864989,1,0.00228833,P593Fg003,1542,2531,1629,1,P593Fg015,1184,2802,1572,1,[],0,20,0.04576659,150,20,0.04576659,0.186915888,1,ux593_20190105/R=P593Fg003_1_P593Fg015_1.jpg,ux593_20190105/V=P593Fg003_1_P593Fg015_1.jpg
