fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates,class
PX303Fg006_9X4_6X2_1_PX303Fg006_9X4_7X1_1,PX303Fg006_9X4_6X2_PX303Fg006_9X4_7X1,6,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[858, 0, 524, 0], [858, 250, 524, 0]]",[],0
PX303Fg006_9X3_0X0_1_PX303Fg006_9X3_2X2_0,PX303Fg006_9X3_0X0_PX303Fg006_9X3_2X2,8,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[480, 250, 50, 0], [480, 250, 50, 250]]",[],0
PX303Fg006_5X4_0X0_0_PX303Fg006_5X4_2X0_0,PX303Fg006_5X4_0X0_PX303Fg006_5X4_2X0,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_5X3_1X0_0_PX303Fg006_5X3_2X2_1,PX303Fg006_5X3_1X0_PX303Fg006_5X3_2X2,8,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 749, 0], [50, 250, 749, 250]]",[],0
PX303Fg006_8X4_1X3_0_PX303Fg006_8X4_6X2_0,PX303Fg006_8X4_1X3_PX303Fg006_8X4_6X2,12,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[],0
PX303Fg006_7X3_0X2_1_PX303Fg006_7X3_4X2_1,PX303Fg006_7X3_0X2_PX303Fg006_7X3_4X2,12,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[781, 0, 932, 250], [781, 250, 932, 250]]",[],0
PX303Fg006_9X3_4X0_0_PX303Fg006_9X3_7X0_1,PX303Fg006_9X3_4X0_PX303Fg006_9X3_7X0,12,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[50, 0, 544, 0], [50, 250, 544, 0]]",[],0
PX303Fg006_7X4_2X3_1_PX303Fg006_7X4_5X1_0,PX303Fg006_7X4_2X3_PX303Fg006_7X4_5X1,12,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[966, 250, 50, 250], [966, 0, 50, 250]]",[],0
PX303Fg006_6X4_1X0_1_PX303Fg006_6X4_3X0_0,PX303Fg006_6X4_1X0_PX303Fg006_6X4_3X0,4,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[767, 0, 50, 250], [767, 250, 50, 250]]",[],0
PX303Fg006_6X3_0X0_0_PX303Fg006_6X3_3X1_0,PX303Fg006_6X3_0X0_PX303Fg006_6X3_3X1,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_5X2_2X0_1_PX303Fg006_5X2_4X0_0,PX303Fg006_5X2_2X0_PX303Fg006_5X2_4X0,8,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[1115, 0, 50, 250], [1115, 0, 50, 0]]",[],0
PX303Fg006_9X4_4X1_1_PX303Fg006_9X4_6X2_0,PX303Fg006_9X4_4X1_PX303Fg006_9X4_6X2,12,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[516, 250, 50, 0], [516, 0, 50, 0]]",[],0
PX303Fg006_8X4_2X1_0_PX303Fg006_8X4_4X2_1,PX303Fg006_8X4_2X1_PX303Fg006_8X4_4X2,2,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 538, 250], [50, 250, 538, 0]]",[],0
PX303Fg006_9X4_5X3_0_PX303Fg006_9X4_7X1_0,PX303Fg006_9X4_5X3_PX303Fg006_9X4_7X1,4,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[],0
PX303Fg006_9X4_1X1_1_PX303Fg006_9X4_8X3_1,PX303Fg006_9X4_1X1_PX303Fg006_9X4_8X3,12,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[384, 250, 277, 0], [384, 250, 277, 250]]",[],0
PX303Fg006_6X3_1X2_1_PX303Fg006_6X3_4X1_1,PX303Fg006_6X3_1X2_PX303Fg006_6X3_4X1,6,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[1032, 250, 1191, 0], [1032, 0, 1191, 0]]",[],0
PX303Fg006_7X4_2X1_0_PX303Fg006_7X4_5X3_0,PX303Fg006_7X4_2X1_PX303Fg006_7X4_5X3,9,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0]]",[],0
PX303Fg006_8X3_1X0_1_PX303Fg006_8X3_6X0_1,PX303Fg006_8X3_1X0_PX303Fg006_8X3_6X0,3,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[677, 250, 626, 0], [677, 0, 626, 0]]",[],0
PX303Fg006_7X4_0X0_1_PX303Fg006_7X4_2X1_0,PX303Fg006_7X4_0X0_PX303Fg006_7X4_2X1,9,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[529, 250, 50, 250], [529, 0, 50, 250]]",[],0
PX303Fg006_6X4_1X3_1_PX303Fg006_6X4_3X1_1,PX303Fg006_6X4_1X3_PX303Fg006_6X4_3X1,8,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[476, 0, 1018, 0], [476, 250, 1018, 0]]",[],0
PX303Fg006_5X4_0X3_0_PX303Fg006_5X4_4X1_0,PX303Fg006_5X4_0X3_PX303Fg006_5X4_4X1,12,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[],0
PX303Fg006_9X4_1X1_1_PX303Fg006_9X4_7X3_0,PX303Fg006_9X4_1X1_PX303Fg006_9X4_7X3,6,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[384, 250, 50, 250], [384, 250, 50, 0]]",[],0
PX303Fg006_7X3_0X1_0_PX303Fg006_7X3_3X0_0,PX303Fg006_7X3_0X1_PX303Fg006_7X3_3X0,12,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 50, 250], [50, 0, 50, 0]]",[],0
PX303Fg006_6X4_3X3_1_PX303Fg006_6X4_4X1_0,PX303Fg006_6X4_3X3_PX303Fg006_6X4_4X1,12,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[705, 0, 50, 250], [705, 250, 50, 250]]",[],0
PX303Fg006_8X4_2X0_1_PX303Fg006_8X4_4X1_0,PX303Fg006_8X4_2X0_PX303Fg006_8X4_4X1,9,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[685, 0, 50, 250], [685, 250, 50, 250]]",[],0
PX303Fg006_7X4_3X1_0_PX303Fg006_7X4_5X1_0,PX303Fg006_7X4_3X1_PX303Fg006_7X4_5X1,12,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 0, 50, 250], [50, 250, 50, 250]]",[],0
PX303Fg006_7X3_1X1_0_PX303Fg006_7X3_5X1_1,PX303Fg006_7X3_1X1_PX303Fg006_7X3_5X1,12,2,2,2,1,"[[False, 0, 0], [False, 0, 1]]","[[50, 0, 281, 0], [50, 0, 281, 250]]",[],0
PX303Fg006_6X4_4X1_0_PX303Fg006_6X4_5X1_0,PX303Fg006_6X4_4X1_PX303Fg006_6X4_5X1,129,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 0], [50, 250, 50, 250]]",[],0
PX303Fg006_9X3_1X1_1_PX303Fg006_9X3_7X2_0,PX303Fg006_9X3_1X1_PX303Fg006_9X3_7X2,8,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[394, 0, 50, 0], [394, 0, 50, 250]]",[],0
PX303Fg006_4X2_2X1_1_PX303Fg006_4X2_3X1_1,PX303Fg006_4X2_2X1_PX303Fg006_4X2_3X1,247,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1203, 250, 1067, 0], [1203, 250, 1067, 250]]",[],0
PX303Fg006_7X2_1X0_0_PX303Fg006_7X2_5X1_1,PX303Fg006_7X2_1X0_PX303Fg006_7X2_5X1,3,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 0, 1697, 250], [50, 250, 1697, 250]]",[],0
PX303Fg006_9X3_0X0_0_PX303Fg006_9X3_2X2_1,PX303Fg006_9X3_0X0_PX303Fg006_9X3_2X2,8,2,2,2,1,"[[False, 1, 0], [False, 1, 1]]","[[50, 250, 374, 250], [50, 250, 374, 0]]",[],0
PX303Fg006_9X3_1X0_0_PX303Fg006_9X3_2X1_0,PX303Fg006_9X3_1X0_PX303Fg006_9X3_2X1,4,2,2,2,1,"[[False, 0, 1], [False, 1, 1]]","[[50, 250, 50, 250], [50, 0, 50, 250]]",[],0
PX303Fg006_7X3_2X0_0_PX303Fg006_7X3_4X1_0,PX303Fg006_7X3_2X0_PX303Fg006_7X3_4X1,12,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[50, 250, 50, 0], [50, 0, 50, 0]]",[],0
