fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_6X3_0X2_3_PX303Fg006_6X3_2X1_2,PX303Fg006_6X3_0X2_PX303Fg006_6X3_2X1,19,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[750, 650, 500, 50], [750, 50, 500, 50]]",[]
PX303Fg006_4X4_1X3_2_PX303Fg006_4X4_3X0_3,PX303Fg006_4X4_1X3_PX303Fg006_4X4_3X0,7,1,0,0,0,"[[False, 9, 4]]","[[500, 2418, 750, 1098]]",[]
PX303Fg006_6X4_0X2_3_PX303Fg006_6X4_1X1_1,PX303Fg006_6X4_0X2_PX303Fg006_6X4_1X1,10,2,2,1,0,"[[False, 0, 0], [False, 1, 0]]","[[750, 50, 250, 50], [750, 410, 250, 50]]",[]
PX303Fg006_6X4_4X1_2_PX303Fg006_6X4_5X2_3,PX303Fg006_6X4_4X1_PX303Fg006_6X4_5X2,36,1,0,0,0,"[[False, 3, 0]]","[[500, 855, 750, 50]]",[]
PX303Fg006_4X3_0X0_4_PX303Fg006_4X3_1X0_2,PX303Fg006_4X3_0X0_PX303Fg006_4X3_1X0,55,1,1,0,0,"[[False, 0, 0]]","[[1000, 50, 500, 50]]",[]
PX303Fg006_6X4_2X3_1_PX303Fg006_6X4_3X0_2,PX303Fg006_6X4_2X3_PX303Fg006_6X4_3X0,14,1,1,0,0,"[[False, 1, 0]]","[[250, 425, 500, 50]]",[]
PX303Fg006_5X4_0X3_2_PX303Fg006_5X4_2X3_2,PX303Fg006_5X4_0X3_PX303Fg006_5X4_2X3,14,3,1,0,0,"[[False, 0, 0], [False, 5, 0], [False, 5, 5]]","[[500, 1439, 500, 50], [500, 50, 500, 50], [500, 1439, 500, 1280]]",[]
PX303Fg006_5X4_1X0_2_PX303Fg006_5X4_2X0_3,PX303Fg006_5X4_1X0_PX303Fg006_5X4_2X0,35,1,0,0,0,"[[False, 3, 0]]","[[500, 842, 750, 50]]",[]
PX303Fg006_5X4_0X3_3_PX303Fg006_5X4_2X0_1,PX303Fg006_5X4_0X3_PX303Fg006_5X4_2X0,21,1,0,0,0,"[[False, 5, 0]]","[[750, 1439, 250, 50]]",[]
PX303Fg006_6X4_1X2_2_PX303Fg006_6X4_4X0_3,PX303Fg006_6X4_1X2_PX303Fg006_6X4_4X0,4,1,0,0,0,"[[False, 5, 0]]","[[500, 1358, 750, 50]]",[]
PX303Fg006_4X4_2X2_1_PX303Fg006_4X4_3X0_0,PX303Fg006_4X4_2X2_PX303Fg006_4X4_3X0,27,4,2,0,0,"[[False, 3, 0], [False, 3, 0], [False, 3, 0], [False, 3, 4]]","[[380, 922, 130, 50], [370, 922, 120, 50], [250, 922, 0, 50], [250, 922, 0, 1098]]",[]
PX303Fg006_6X3_0X2_1_PX303Fg006_6X3_4X1_5,PX303Fg006_6X3_0X2_PX303Fg006_6X3_4X1,13,3,1,0,0,"[[False, 0, 0], [False, 2, 0], [False, 2, 6]]","[[250, 650, 1250, 1616], [250, 50, 1250, 50], [250, 650, 1250, 50]]",[]
PX303Fg006_5X4_0X1_3_PX303Fg006_5X4_3X3_2,PX303Fg006_5X4_0X1_PX303Fg006_5X4_3X3,10,1,0,0,0,"[[False, 5, 0]]","[[750, 1283, 500, 50]]",[]
PX303Fg006_4X4_1X2_3_PX303Fg006_4X4_3X3_0,PX303Fg006_4X4_1X2_PX303Fg006_4X4_3X3,12,2,0,0,0,"[[False, 9, 0], [False, 9, 4]]","[[750, 2257, 0, 1033], [750, 2257, 0, 50]]",[]
PX303Fg006_5X4_2X2_2_PX303Fg006_5X4_4X3_3,PX303Fg006_5X4_2X2_PX303Fg006_5X4_4X3,15,1,0,0,0,"[[False, 4, 0]]","[[500, 1169, 750, 50]]",[]
PX303Fg006_6X4_1X0_1_PX303Fg006_6X4_5X2_0,PX303Fg006_6X4_1X0_PX303Fg006_6X4_5X2,8,2,0,0,0,"[[False, 4, 0], [False, 4, 2]]","[[250, 1093, 0, 626], [250, 1093, 0, 50]]",[]
PX303Fg006_6X3_2X0_1_PX303Fg006_6X3_4X2_3,PX303Fg006_6X3_2X0_PX303Fg006_6X3_4X2,4,1,0,0,0,"[[False, 4, 7]]","[[250, 1081, 750, 1911]]",[]
PX303Fg006_6X4_2X2_2_PX303Fg006_6X4_4X1_0,PX303Fg006_6X4_2X2_PX303Fg006_6X4_4X1,7,1,1,0,0,"[[False, 1, 0]]","[[500, 415, 0, 50]]",[]
PX303Fg006_5X4_1X3_3_PX303Fg006_5X4_4X2_1,PX303Fg006_5X4_1X3_PX303Fg006_5X4_4X2,10,1,0,0,0,"[[False, 2, 0]]","[[750, 530, 250, 50]]",[]
PX303Fg006_4X3_1X1_1_PX303Fg006_4X3_2X0_0,PX303Fg006_4X3_1X1_PX303Fg006_4X3_2X0,18,3,2,0,0,"[[False, 6, 0], [False, 6, 0], [False, 6, 0]]","[[380, 1671, 130, 50], [370, 1671, 120, 50], [250, 1671, 0, 50]]",[]
PX303Fg006_5X4_0X3_0_PX303Fg006_5X4_1X3_0,PX303Fg006_5X4_0X3_PX303Fg006_5X4_1X3,45,3,2,0,0,"[[False, 5, 0], [False, 5, 0], [False, 5, 0]]","[[130, 1439, 130, 50], [120, 1439, 120, 50], [0, 1439, 0, 50]]",[]
PX303Fg006_5X3_0X0_0_PX303Fg006_5X3_4X2_1,PX303Fg006_5X3_0X0_PX303Fg006_5X3_4X2,43,2,0,0,0,"[[False, 3, 0], [False, 3, 2]]","[[0, 936, 250, 690], [0, 936, 250, 50]]",[]
PX303Fg006_6X4_2X1_1_PX303Fg006_6X4_4X0_3,PX303Fg006_6X4_2X1_PX303Fg006_6X4_4X0,12,1,0,0,0,"[[False, 2, 0]]","[[250, 555, 750, 50]]",[]
PX303Fg006_4X4_1X2_3_PX303Fg006_4X4_3X3_3,PX303Fg006_4X4_1X2_PX303Fg006_4X4_3X3,12,2,0,0,0,"[[False, 9, 0], [False, 9, 4]]","[[750, 2257, 750, 50], [750, 2257, 750, 1033]]",[]
PX303Fg006_5X4_2X3_3_PX303Fg006_5X4_4X2_1,PX303Fg006_5X4_2X3_PX303Fg006_5X4_4X2,6,1,0,0,0,"[[False, 5, 0]]","[[750, 1280, 250, 50]]",[]
PX303Fg006_5X4_2X0_2_PX303Fg006_5X4_4X3_3,PX303Fg006_5X4_2X0_PX303Fg006_5X4_4X3,16,2,0,0,0,"[[False, 3, 0], [False, 3, 4]]","[[500, 928, 750, 1208], [500, 928, 750, 50]]",[]
PX303Fg006_6X3_4X2_4_PX303Fg006_6X3_5X2_3,PX303Fg006_6X3_4X2_PX303Fg006_6X3_5X2,20,1,0,0,0,"[[False, 7, 0]]","[[1000, 1911, 750, 205]]",[]
PX303Fg006_4X4_0X2_3_PX303Fg006_4X4_2X1_1,PX303Fg006_4X4_0X2_PX303Fg006_4X4_2X1,3,2,1,0,0,"[[False, 0, 0], [False, 3, 0]]","[[750, 50, 250, 50], [750, 872, 250, 50]]",[]
PX303Fg006_5X4_0X0_3_PX303Fg006_5X4_1X0_2,PX303Fg006_5X4_0X0_PX303Fg006_5X4_1X0,41,2,1,0,0,"[[False, 0, 0], [False, 4, 0]]","[[750, 50, 500, 50], [750, 1089, 500, 50]]",[]
PX303Fg006_6X4_3X1_2_PX303Fg006_6X4_4X1_0,PX303Fg006_6X4_3X1_PX303Fg006_6X4_4X1,33,3,2,0,0,"[[False, 4, 0], [False, 4, 0], [False, 4, 0]]","[[620, 1040, 120, 50], [500, 1040, 0, 50], [630, 1040, 130, 50]]",[]
PX303Fg006_6X4_0X0_2_PX303Fg006_6X4_2X2_1,PX303Fg006_6X4_0X0_PX303Fg006_6X4_2X2,20,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[500, 50, 250, 50], [500, 655, 250, 50]]",[]
PX303Fg006_6X3_4X0_0_PX303Fg006_6X3_5X0_0,PX303Fg006_6X3_4X0_PX303Fg006_6X3_5X0,43,4,2,0,0,"[[False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 2]]","[[0, 1182, 0, 676], [120, 1182, 120, 50], [130, 1182, 130, 50], [0, 1182, 0, 50]]",[]
PX303Fg006_6X4_4X3_2_PX303Fg006_6X4_5X0_2,PX303Fg006_6X4_4X3_PX303Fg006_6X4_5X0,22,4,2,0,0,"[[False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 2]]","[[630, 1210, 630, 50], [500, 1210, 500, 50], [620, 1210, 620, 50], [500, 1210, 500, 730]]",[]
