P593Fg001_1_P598Fg002_0,P593Fg001_P598Fg002,19,13,17,"[[True, 0, 8], [True, 0, 9], [True, 1, 8], [True, 1, 9], [True, 2, 8], [True, 3, 8], [True, 3, 9], [True, 4, 8], [True, 4, 9], [True, 5, 8], [True, 5, 9], [True, 6, 8], [True, 6, 9]]"
P590Fg030_0_P593Fg002_1,P590Fg030_P593Fg002,17,10,13,"[[True, 0, 2], [True, 1, 2], [True, 1, 3], [True, 2, 2], [True, 2, 3], [True, 3, 2], [True, 3, 3], [True, 4, 1], [True, 5, 1], [True, 6, 1]]"
P593Fg001_0_P593Fg002_1,P593Fg001_P593Fg002,38,12,11,"[[True, 0, 2], [True, 0, 3], [True, 1, 1], [True, 2, 2], [True, 2, 3], [True, 3, 1], [True, 5, 2], [True, 5, 3], [True, 7, 2], [True, 7, 3], [True, 8, 2], [True, 8, 3], [True, 9, 2], [True, 10, 1]]"
P589Fg004_0_P593Fg002_1,P589Fg004_P593Fg002,15,8,10,"[[True, 0, 2], [True, 0, 3], [True, 1, 2], [True, 1, 3], [True, 2, 2], [True, 2, 3], [True, 3, 2], [True, 3, 3]]"
P589Fg004_0_P593Fg004_1,P589Fg004_P593Fg004,17,8,10,"[[True, 0, 1], [True, 0, 2], [True, 1, 1], [True, 1, 2], [True, 2, 1], [True, 2, 2], [True, 3, 1], [True, 3, 2]]"
P589Fg004_0_P598Fg009_1,P589Fg004_P598Fg009,15,8,10,"[[True, 0, 2], [True, 0, 3], [True, 1, 2], [True, 1, 3], [True, 2, 2], [True, 2, 3], [True, 3, 2], [True, 3, 3]]"
P589Fg004_0_P598Fg035_1,P589Fg004_P598Fg035,12,8,10,"[[True, 0, 1], [True, 0, 2], [True, 1, 1], [True, 1, 2], [True, 2, 1], [True, 2, 2], [True, 3, 1], [True, 3, 2]]"
P593Fg001_1_P593Fg002_0,P593Fg001_P593Fg002,38,9,10,"[[True, 0, 1], [True, 1, 1], [True, 1, 2], [True, 2, 1], [True, 3, 1], [True, 4, 1], [True, 4, 2], [True, 5, 1], [True, 6, 1]]"
P593Fg001_1_P597Fg003_0,P593Fg001_P597Fg003,19,9,10,"[[True, 0, 1], [True, 0, 2], [True, 1, 1], [True, 1, 2], [True, 3, 1], [True, 3, 2], [True, 4, 1], [True, 4, 2], [True, 5, 1], [True, 6, 1]]"
P593Fg001_0_P597Fg013_1,P593Fg001_P597Fg013,33,11,10,"[[True, 0, 2], [True, 1, 1], [True, 2, 1], [True, 3, 1], [True, 4, 3], [True, 5, 2], [True, 6, 1], [True, 7, 2], [True, 8, 2], [True, 9, 2], [True, 10, 1]]"
