fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_4X4_1X3_1_PX303Fg006_4X4_3X3_0,PX303Fg006_4X4_1X3_PX303Fg006_4X4_3X3,0,12,2,2,0,0,"[[False, 0, 0], [False, 1, 0]]","[[1225, 250, 50, 0], [1225, 0, 50, 0]]",[]
PX303Fg006_5X4_2X3_0_PX303Fg006_5X4_4X2_1,PX303Fg006_5X4_2X3_PX303Fg006_5X4_4X2,0,16,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 868, 250], [50, 250, 868, 0], [50, 0, 868, 250], [50, 0, 868, 0]]",[]
PX303Fg006_4X4_0X0_1_PX303Fg006_4X4_3X2_1,PX303Fg006_4X4_0X0_PX303Fg006_4X4_3X2,0,9,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1229, 250, 1304, 250], [1229, 250, 1304, 0], [1229, 0, 1304, 250], [1229, 0, 1304, 0]]",[]
PX303Fg006_6X3_3X2_1_PX303Fg006_6X3_5X2_1,PX303Fg006_6X3_3X2_PX303Fg006_6X3_5X2,0,16,4,4,4,2,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[405, 250, 407, 0], [405, 250, 407, 250], [405, 0, 407, 0], [405, 0, 407, 250]]",[]
PX303Fg006_5X4_2X3_1_PX303Fg006_5X4_4X0_0,PX303Fg006_5X4_2X3_PX303Fg006_5X4_4X0,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1584, 250, 50, 250], [1584, 250, 50, 0], [1584, 0, 50, 250], [1584, 0, 50, 0]]",[]
PX303Fg006_5X3_3X2_1_PX303Fg006_5X3_4X0_1,PX303Fg006_5X3_3X2_PX303Fg006_5X3_4X0,0,12,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[646, 0, 1003, 250], [646, 0, 1003, 0], [646, 250, 1003, 250], [646, 250, 1003, 0]]",[]
PX303Fg006_4X4_0X0_1_PX303Fg006_4X4_2X2_1,PX303Fg006_4X4_0X0_PX303Fg006_4X4_2X2,0,6,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1229, 250, 1013, 0], [1229, 250, 1013, 250], [1229, 0, 1013, 0], [1229, 0, 1013, 250]]",[]
PX303Fg006_6X3_3X2_0_PX303Fg006_6X3_4X2_1,PX303Fg006_6X3_3X2_PX303Fg006_6X3_4X2,0,8,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 1354, 0], [50, 250, 1354, 250], [50, 0, 1354, 0], [50, 0, 1354, 250]]",[]
PX303Fg006_5X3_1X2_0_PX303Fg006_5X3_3X0_0,PX303Fg006_5X3_1X2_PX303Fg006_5X3_3X0,0,8,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_5X3_0X2_1_PX303Fg006_5X3_2X1_1,PX303Fg006_5X3_0X2_PX303Fg006_5X3_2X1,0,12,2,2,0,0,"[[False, 0, 1], [False, 1, 1]]","[[749, 0, 1585, 250], [749, 250, 1585, 250]]",[]
PX303Fg006_6X3_3X0_1_PX303Fg006_6X3_5X0_1,PX303Fg006_6X3_3X0_PX303Fg006_6X3_5X0,0,12,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[942, 250, 667, 0], [942, 250, 667, 250], [942, 0, 667, 0], [942, 0, 667, 250]]",[]
PX303Fg006_5X3_3X1_0_PX303Fg006_5X3_4X1_1,PX303Fg006_5X3_3X1_PX303Fg006_5X3_4X1,0,71,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 976, 0], [50, 250, 976, 250], [50, 0, 976, 0], [50, 0, 976, 250]]",[]
PX303Fg006_4X3_0X1_1_PX303Fg006_4X3_2X2_1,PX303Fg006_4X3_0X1_PX303Fg006_4X3_2X2,0,6,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[944, 0, 1096, 250], [944, 0, 1096, 0]]",[]
PX303Fg006_4X4_1X3_0_PX303Fg006_4X4_3X0_0,PX303Fg006_4X4_1X3_PX303Fg006_4X4_3X0,0,12,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[50, 250, 50, 0], [50, 0, 50, 0]]",[]
PX303Fg006_6X3_2X2_0_PX303Fg006_6X3_5X2_0,PX303Fg006_6X3_2X2_PX303Fg006_6X3_5X2,0,8,4,4,6,3,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[50, 250, 50, 250], [50, 250, 50, 0], [50, 0, 50, 250], [50, 0, 50, 0]]",[]
PX303Fg006_5X3_1X1_1_PX303Fg006_5X3_3X1_0,PX303Fg006_5X3_1X1_PX303Fg006_5X3_3X1,0,16,4,4,0,0,"[[False, 0, 0], [False, 0, 1], [False, 1, 0], [False, 1, 1]]","[[1002, 250, 50, 250], [1002, 250, 50, 0], [1002, 0, 50, 250], [1002, 0, 50, 0]]",[]
PX303Fg006_5X4_1X1_0_PX303Fg006_5X4_3X2_1,PX303Fg006_5X4_1X1_PX303Fg006_5X4_3X2,0,6,1,1,0,0,"[[False, 1, 0]]","[[50, 250, 731, 0]]",[]
PX303Fg006_4X3_0X1_1_PX303Fg006_4X3_2X0_0,PX303Fg006_4X3_0X1_PX303Fg006_4X3_2X0,0,8,2,2,0,0,"[[False, 0, 0], [False, 0, 1]]","[[944, 0, 50, 250], [944, 0, 50, 0]]",[]
PX303Fg006_6X3_3X1_1_PX303Fg006_6X3_4X1_0,PX303Fg006_6X3_3X1_PX303Fg006_6X3_4X1,1,50,48,48,32,16,"[[False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 0], [False, 0, 1], [False, 0, 1], [False, 0, 1], [False, 1, 0], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 1], [False, 1, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 2, 2], [False, 3, 3], [False, 3, 3], [False, 3, 3], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 4], [False, 4, 5]]","[[685, 0, 50, 0], [685, 0, 50, 50], [685, 100, 50, 100], [685, 100, 50, 150], [685, 1100, 50, 1100], [685, 1100, 50, 1150], [685, 1150, 50, 1150], [685, 1150, 50, 1200], [685, 250, 50, 0], [685, 1200, 50, 1200], [685, 1200, 50, 1250], [685, 130, 50, 130], [685, 130, 50, 180], [685, 150, 50, 150], [685, 150, 50, 200], [685, 170, 50, 170], [685, 0, 50, 250], [685, 170, 50, 220], [685, 180, 50, 180], [685, 200, 50, 200], [685, 200, 50, 250], [685, 220, 50, 220], [685, 220, 50, 270], [685, 250, 50, 250], [685, 250, 50, 300], [685, 270, 50, 270], [685, 300, 50, 300], [685, 300, 50, 350], [685, 350, 50, 350], [685, 350, 50, 400], [685, 400, 50, 400], [685, 400, 50, 450], [685, 430, 50, 430], [685, 450, 50, 450], [685, 450, 50, 500], [685, 50, 50, 100], [685, 50, 50, 50], [685, 500, 50, 500], [685, 500, 50, 550], [685, 520, 50, 520], [685, 550, 50, 550], [685, 550, 50, 600], [685, 600, 50, 600], [685, 80, 50, 130], [685, 80, 50, 80], [685, 800, 50, 850], [685, 850, 50, 850], [685, 850, 50, 900]]",[]
PX303Fg006_4X4_0X3_0_PX303Fg006_4X4_3X0_0,PX303Fg006_4X4_0X3_PX303Fg006_4X4_3X0,0,12,2,2,2,1,"[[False, 0, 0], [False, 1, 0]]","[[50, 250, 50, 0], [50, 0, 50, 0]]",[]
PX303Fg006_5X4_2X0_1_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_2X0_PX303Fg006_5X4_4X1,0,8,2,2,0,0,"[[False, 1, 0], [False, 1, 1]]","[[1175, 250, 1071, 250], [1175, 250, 1071, 0]]",[]
