File,Model,Gap,Slice_size,Count,Precision,Recall,F-score,True Count,Error Rate,
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_250px_model400x50.ckpt,20,250,5000,0.54843095,0.841474014,0.664060357,2037,0.3654,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_250px_model400x50.ckpt,40,250,5000,0.465468121,0.823570311,0.594777806,2037,0.448,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_250px_model400x50.ckpt,80,250,5000,0.457156673,0.821658265,0.587460387,2037,0.452,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120515-ML540__004.jpg,/Users/il239838/Development/models/ML540__004_250px_model400x50.ckpt,120,250,5000,0.443130118,0.761863376,0.560342623,2037,0.4696,540
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,0,250,7000,0.638070501,0.918687894,0.753087501,2570,0.197571429,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,5,250,5000,0.653728294,0.779130435,0.710941839,2041,0.262,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,10,250,5000,0.631101022,0.676869565,0.653184526,2041,0.2948,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,20,250,5000,0.620484908,0.65426087,0.636925421,2041,0.316,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,40,250,5000,0.539588949,0.557043478,0.548177306,2041,0.3568,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,80,250,5000,0.502367347,0.535130435,0.518231579,2041,0.3918,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120519-ML595__005.jpg,/Users/il239838/Development/models/ML595__005_250px_model400x50.ckpt,120,250,5000,0.521410967,0.588695652,0.553014213,2041,0.3804,595
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,0,250,7000,0.423084138,0.972509702,0.589646382,2482,0.447857143,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,5,250,5000,0.450850818,0.948722406,0.611232432,2037,0.4676,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,10,250,5000,0.440706058,0.924387276,0.596857464,2037,0.4834,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,20,250,5000,0.42629161,0.919346428,0.582488987,2037,0.5058,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,40,250,5000,0.424856467,0.874674083,0.571915667,2037,0.4994,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,80,250,5000,0.431103679,0.896228055,0.582171287,2037,0.487,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120522-ML638__006.jpg,/Users/il239838/Development/models/ML638__006_250px_model400x50.ckpt,120,250,5000,0.42671285,0.877976708,0.574303582,2037,0.4938,638
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,0,250,7000,0.679965239,0.954530332,0.794186851,2352,0.158857143,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,5,250,5000,0.696396929,0.835133699,0.75948144,1940,0.2194,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,10,250,5000,0.677384281,0.772268461,0.721721142,1940,0.2468,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,20,250,5000,0.692647872,0.665663184,0.678887484,1940,0.2622,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,40,250,5000,0.560503388,0.615193908,0.586576615,1940,0.3406,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,80,250,5000,0.515630368,0.531609704,0.523498125,1940,0.3606,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120529-ML656__007.jpg,/Users/il239838/Development/models/ML656__007_250px_model400x50.ckpt,120,250,5000,0.494971406,0.444483797,0.468370965,1940,0.3948,656
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,0,250,7000,0.808225729,0.902874239,0.85293227,2570,0.114285714,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,5,250,5000,0.768386981,0.743130435,0.755547697,2041,0.2096,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,10,250,5000,0.802768903,0.655478261,0.721685017,2041,0.2166,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,20,250,5000,0.718514672,0.481217391,0.576398292,2041,0.2976,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,40,250,5000,0.614921466,0.408521739,0.490909091,2041,0.333,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,80,250,5000,0.629103215,0.323304348,0.427110856,2041,0.3444,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120535-ML706__008.jpg,/Users/il239838/Development/models/ML706__008_250px_model400x50.ckpt,120,250,5000,0.579569892,0.374956522,0.455332629,2041,0.3576,706
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,0,250,7000,0.505923001,0.985682231,0.668647845,2570,0.318857143,728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,5,250,5000,0.531794675,0.96573913,0.685894269,2041,0.3486,728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,10,250,5000,0.512453422,0.908869565,0.655379985,2041,0.3718,728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,20,250,5000,0.492420227,0.807826087,0.611868537,2041,0.414,728
PX303/FG006/PX303-Fg006-V-C01-R01-D08032015-T120541-ML728__009.jpg,/Users/il239838/Development/models/ML728__009_250px_model400x50.ckpt,40,250,5000,0.488341577,0.841391304,0.617998339,2041,0.3972,728
