fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fitstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
P589Fg006_1_P590Fg032_1,P589Fg006_P590Fg032,32,16,16,22,7,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 0, 5], [True, 0, 4], [True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4], [True, 5, 5], [True, 5, 4], [True, 6, 5], [True, 6, 4], [True, 7, 5], [True, 7, 4]]","[[3750, 0, 1750, 1000], [3750, 0, 1750, 1250], [3750, 250, 1750, 1000], [3750, 250, 1750, 1250], [3750, 500, 1750, 1000], [3750, 500, 1750, 1250], [3750, 750, 1750, 1000], [3750, 750, 1750, 1250], [3750, 1000, 1750, 1000], [3750, 1000, 1750, 1250], [3750, 1250, 1750, 1000], [3750, 1250, 1750, 1250], [3750, 1500, 1750, 1000], [3750, 1500, 1750, 1250], [3750, 1750, 1750, 1000], [3750, 1750, 1750, 1250]]","[[5057, 1763, 3242, 3048], [5057, 1763, 2992, 3048], [5057, 2013, 3242, 3048], [5057, 2013, 2992, 3048], [5057, 2263, 3242, 3048], [5057, 2263, 2992, 3048], [5057, 2513, 3242, 3048], [5057, 2513, 2992, 3048], [5057, 2763, 3242, 3048], [5057, 2763, 2992, 3048], [5057, 3013, 3242, 3048], [5057, 3013, 2992, 3048], [5057, 3263, 3242, 3048], [5057, 3263, 2992, 3048], [5057, 3513, 3242, 3048], [5057, 3513, 2992, 3048]]"
P589Fg007_1_P590Fg032_1,P589Fg007_P590Fg032,8,4,4,4,1,P589-Fg007-V-C01-R01-D12022013-T122152-ML638,1108,3257,1630,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 0, 5], [True, 0, 4], [True, 1, 5], [True, 1, 4]]","[[1000, 0, 1750, 1000], [1000, 0, 1750, 1250], [1000, 250, 1750, 1000], [1000, 250, 1750, 1250]]","[[4066, 3031, 3242, 3048], [4066, 3031, 2992, 3048], [3816, 3031, 3242, 3048], [3816, 3031, 2992, 3048]]"
P589Fg003_1_P597Fg060_1,P589Fg003_P597Fg060,16,6,6,6,1,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,P597-Fg060-V-C01-R01-D01122014-T141941-ML638,1251,3052,2005,"[[True, 1, 1], [True, 1, 0], [True, 2, 0], [True, 3, 0], [True, 4, 1], [True, 4, 0]]","[[2750, 250, 250, 0], [2750, 250, 250, 250], [2750, 500, 250, 0], [2750, 750, 250, 0], [2750, 1000, 250, 0], [2750, 1000, 250, 250]]","[[3955, 4011, 3770, 2623], [3955, 4011, 3520, 2623], [3705, 4011, 3770, 2623], [3455, 4011, 3770, 2623], [3205, 4011, 3770, 2623], [3205, 4011, 3520, 2623]]"
P596Fg056_1_P598Fg035_1,P596Fg056_P598Fg035,5,4,4,4,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[4183, 2901, 3752, 2917], [4183, 2901, 3502, 2917], [3933, 2901, 3752, 2917], [3933, 2901, 3502, 2917]]"
P589Fg011_1_P596Fg001_1,P589Fg011_P596Fg001,6,6,6,7,2,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,"[[True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0]]","[[750, 0, 500, 0], [750, 0, 500, 250], [750, 250, 500, 0], [750, 250, 500, 250], [750, 500, 500, 0], [750, 500, 500, 250]]","[[4250, 2932, 3955, 1878], [4250, 2932, 3955, 2128], [4000, 2932, 3955, 1878], [4000, 2932, 3955, 2128], [3750, 2932, 3955, 1878], [3750, 2932, 3955, 2128]]"
P589Fg001_1_P593Fg016_1,P589Fg001_P593Fg016,17,7,7,6,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P593-Fg016-V-C01-R01-D31122013-T093806-ML638,1044,2842,1766,"[[True, 1, 3], [True, 1, 2], [True, 1, 2], [True, 2, 3], [True, 2, 2], [True, 3, 3], [True, 3, 2]]","[[1000, 250, 250, 500], [1000, 250, 250, 750], [1000, 500, 250, 500], [1000, 500, 250, 750], [1000, 750, 250, 500], [1000, 750, 250, 750], [1000, 250, 250, 500]]","[[3815, 2952, 3468, 2398], [3815, 2952, 3468, 2648], [3565, 2952, 3468, 2398], [3565, 2952, 3468, 2648], [3315, 2952, 3468, 2398], [3315, 2952, 3468, 2648], [3815, 2952, 3468, 2398]]"
P589Fg011_1_P597Fg046_1,P589Fg011_P597Fg046,6,6,6,3,1,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1]]","[[750, 500, 500, 250], [750, 0, 500, 250], [750, 250, 500, 250], [750, 500, 500, 0], [750, 500, 500, 250], [750, 750, 500, 250]]","[[3750, 2932, 3460, 2481], [4250, 2932, 3460, 2481], [4000, 2932, 3460, 2481], [3750, 2932, 3710, 2481], [3750, 2932, 3460, 2481], [3500, 2932, 3460, 2481]]"
P596Fg021_1_P597Fg060_1,P596Fg021_P597Fg060,8,3,3,3,1,P596-Fg021-V-C01-R01-D19012014-T153758-ML638,1224,3148,1747,P597-Fg060-V-C01-R01-D01122014-T141941-ML638,1251,3052,2005,"[[True, 0, 0], [True, 1, 1], [True, 1, 0]]","[[500, 0, 250, 0], [500, 250, 250, 0], [500, 250, 250, 250]]","[[3882, 2391, 3770, 2623], [3632, 2391, 3770, 2623], [3632, 2391, 3520, 2623]]"
P596Fg056_1_P597Fg018_1,P596Fg056_P597Fg018,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,P597-Fg018-V-C01-R01-D30112014-T140441-ML638,1234,3213,1814,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[4183, 2901, 3638, 2861], [4183, 2901, 3388, 2861], [3933, 2901, 3388, 2861]]"
P596Fg037_1_P597Fg053_1,P596Fg037_P597Fg053,3,3,3,3,1,P596-Fg037-V-C01-R01-D20012014-T121453-ML638,1112,3312,1468,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[3797, 2211, 3469, 3001], [3797, 2211, 3219, 3001], [3547, 2211, 3219, 3001]]"
P596Fg067_1_P598Fg035_1,P596Fg067_P598Fg035,4,4,4,4,1,P596-Fg067-V-C01-R01-D22012014-T120037-ML638,1071,3460,1851,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3981, 2332, 3752, 2917], [3981, 2332, 3502, 2917], [3731, 2332, 3752, 2917], [3731, 2332, 3502, 2917]]"
P589Fg012_1_P598Fg035_1,P589Fg012_P598Fg035,10,10,10,13,4,P589-Fg012-V-C01-R01-D12022013-T130509-ML638,1776,2871,1523,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 2], [True, 3, 1], [True, 4, 2], [True, 4, 1]]","[[1250, 0, 1250, 250], [1250, 0, 1250, 500], [1250, 250, 1250, 250], [1250, 250, 1250, 500], [1250, 500, 1250, 250], [1250, 500, 1250, 500], [1250, 750, 1250, 250], [1250, 750, 1250, 500], [1250, 1000, 1250, 250], [1250, 1000, 1250, 500]]","[[4150, 3044, 3752, 2917], [4150, 3044, 3502, 2917], [3900, 3044, 3752, 2917], [3900, 3044, 3502, 2917], [3650, 3044, 3752, 2917], [3650, 3044, 3502, 2917], [3400, 3044, 3752, 2917], [3400, 3044, 3502, 2917], [3150, 3044, 3752, 2917], [3150, 3044, 3502, 2917]]"
P589Fg005_1_P590Fg032_1,P589Fg005_P590Fg032,9,4,4,4,1,P589-Fg005-V-C01-R01-D12022013-T115957-ML638,1377,3104,1706,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 0, 5], [True, 0, 4], [True, 1, 5], [True, 2, 5]]","[[750, 0, 1750, 1000], [750, 0, 1750, 1250], [750, 250, 1750, 1250], [750, 500, 1750, 1250]]","[[3934, 2857, 3242, 3048], [3934, 2857, 2992, 3048], [3684, 2857, 2992, 3048], [3434, 2857, 2992, 3048]]"
