fragmanetAndSide,fragment,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fitstFileName,firstCroppedWidth,firstOffsetX,firstOffsetY,secondFileName,secondCroppedWidth,secondOffsetX,secondOffsetY,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
P589Fg003_1_P590Fg032_1,P589Fg003_P590Fg032,16,8,8,10,3,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 1, 5], [True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4]]","[[2750, 250, 1750, 1000], [2750, 250, 1750, 1250], [2750, 500, 1750, 1000], [2750, 500, 1750, 1250], [2750, 750, 1750, 1000], [2750, 750, 1750, 1250], [2750, 1000, 1750, 1000], [2750, 1000, 1750, 1250]]","[[3955, 4011, 3242, 3048], [3955, 4011, 2992, 3048], [3705, 4011, 3242, 3048], [3705, 4011, 2992, 3048], [3455, 4011, 3242, 3048], [3455, 4011, 2992, 3048], [3205, 4011, 3242, 3048], [3205, 4011, 2992, 3048]]"
P596Fg005_1_P598Fg035_1,P596Fg005_P598Fg035,6,6,6,7,2,P596-Fg005-V-C01-R01-D19012014-T131036-ML638,1354,3499,1876,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500], [500, 500, 1250, 250], [500, 500, 1250, 500]]","[[4317, 2558, 3752, 2917], [4317, 2558, 3502, 2917], [4067, 2558, 3752, 2917], [4067, 2558, 3502, 2917], [3817, 2558, 3752, 2917], [3817, 2558, 3502, 2917]]"
P596Fg067_1_P597Fg060_1,P596Fg067_P597Fg060,10,3,3,3,1,P596-Fg067-V-C01-R01-D22012014-T120037-ML638,1071,3460,1851,P597-Fg060-V-C01-R01-D01122014-T141941-ML638,1251,3052,2005,"[[True, 0, 0], [True, 1, 1], [True, 1, 0]]","[[500, 0, 250, 0], [500, 250, 250, 0], [500, 250, 250, 250]]","[[3981, 2332, 3770, 2623], [3731, 2332, 3770, 2623], [3731, 2332, 3520, 2623]]"
P589Fg001_1_P598Fg007_1,P589Fg001_P598Fg007,31,4,4,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P598-Fg007-V-C01-R01-D07012014-T115107-ML638,2177,2402,1663,"[[True, 1, 4], [True, 2, 5], [True, 2, 4], [True, 3, 4]]","[[1000, 250, 250, 1000], [1000, 500, 250, 1000], [1000, 500, 250, 1250], [1000, 750, 250, 1000]]","[[3815, 2952, 3308, 2178], [3565, 2952, 3308, 2178], [3565, 2952, 3058, 2178], [3315, 2952, 3308, 2178]]"
P589Fg006_1_P597Fg053_1,P589Fg006_P597Fg053,10,10,10,11,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 4, 1], [True, 4, 0], [True, 5, 1], [True, 6, 1], [True, 7, 1]]","[[3750, 0, 750, 250], [3750, 250, 750, 250], [3750, 500, 750, 0], [3750, 500, 750, 250], [3750, 750, 750, 250], [3750, 1000, 750, 0], [3750, 1000, 750, 250], [3750, 1250, 750, 250], [3750, 1500, 750, 250], [3750, 1750, 750, 250]]","[[5057, 1763, 3219, 3001], [5057, 2013, 3219, 3001], [5057, 2263, 3469, 3001], [5057, 2263, 3219, 3001], [5057, 2513, 3219, 3001], [5057, 2763, 3469, 3001], [5057, 2763, 3219, 3001], [5057, 3013, 3219, 3001], [5057, 3263, 3219, 3001], [5057, 3513, 3219, 3001]]"
P596Fg056_1_P597Fg046_1,P596Fg056_P597Fg046,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 500, 0], [500, 0, 500, 250], [500, 250, 500, 250]]","[[4183, 2901, 3710, 2481], [4183, 2901, 3460, 2481], [3933, 2901, 3460, 2481]]"
P589Fg011_1_P597Fg053_1,P589Fg011_P597Fg053,6,6,6,7,2,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,"[[True, 0, 1], [True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 1]]","[[750, 0, 750, 250], [750, 250, 750, 0], [750, 250, 750, 250], [750, 500, 750, 0], [750, 500, 750, 250], [750, 750, 750, 250]]","[[4250, 2932, 3219, 3001], [4000, 2932, 3469, 3001], [4000, 2932, 3219, 3001], [3750, 2932, 3469, 3001], [3750, 2932, 3219, 3001], [3500, 2932, 3219, 3001]]"
P589Fg001_1_P598Fg035_1,P589Fg001_P598Fg035,14,12,12,2,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 1, 2], [True, 1, 2], [True, 1, 1], [True, 1, 1], [True, 2, 2], [True, 2, 2], [True, 2, 1], [True, 2, 1], [True, 3, 2], [True, 3, 2], [True, 3, 1], [True, 3, 1]]","[[1000, 250, 1250, 250], [1000, 250, 1250, 500], [1000, 500, 1250, 250], [1000, 500, 1250, 500], [1000, 750, 1250, 250], [1000, 750, 1250, 500], [1000, 250, 1250, 250], [1000, 250, 1250, 500], [1000, 500, 1250, 250], [1000, 500, 1250, 500], [1000, 750, 1250, 250], [1000, 750, 1250, 500]]","[[3815, 2952, 3752, 2917], [3815, 2952, 3502, 2917], [3565, 2952, 3752, 2917], [3565, 2952, 3502, 2917], [3315, 2952, 3752, 2917], [3315, 2952, 3502, 2917], [3815, 2952, 3752, 2917], [3815, 2952, 3502, 2917], [3565, 2952, 3752, 2917], [3565, 2952, 3502, 2917], [3315, 2952, 3752, 2917], [3315, 2952, 3502, 2917]]"
P589Fg010_1_P597Fg053_1,P589Fg010_P597Fg053,5,5,5,5,1,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,"[[True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 3, 1], [True, 3, 0]]","[[750, 250, 750, 0], [750, 250, 750, 250], [750, 500, 750, 250], [750, 750, 750, 0], [750, 750, 750, 250]]","[[3974, 2859, 3469, 3001], [3974, 2859, 3219, 3001], [3724, 2859, 3219, 3001], [3474, 2859, 3469, 3001], [3474, 2859, 3219, 3001]]"
P596Fg037_1_P598Fg035_1,P596Fg037_P598Fg035,4,4,4,4,1,P596-Fg037-V-C01-R01-D20012014-T121453-ML638,1112,3312,1468,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3797, 2211, 3752, 2917], [3797, 2211, 3502, 2917], [3547, 2211, 3752, 2917], [3547, 2211, 3502, 2917]]"
P589Fg010_1_P598Fg035_1,P589Fg010_P598Fg035,5,5,5,5,1,P589-Fg010-V-C01-R01-D12022013-T124806-ML638,1609,2959,1715,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 1, 2], [True, 1, 1], [True, 2, 1], [True, 3, 2], [True, 3, 1]]","[[750, 250, 1250, 250], [750, 250, 1250, 500], [750, 500, 1250, 250], [750, 750, 1250, 250], [750, 750, 1250, 500]]","[[3974, 2859, 3752, 2917], [3974, 2859, 3502, 2917], [3724, 2859, 3752, 2917], [3474, 2859, 3752, 2917], [3474, 2859, 3502, 2917]]"
P589Fg001_1_P596Fg073_1,P589Fg001_P596Fg073,8,5,5,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P596-Fg073-V-C01-R01-D22012014-T130619-ML638,1001,3538,1984,"[[True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 0]]","[[1000, 250, 500, 0], [1000, 500, 500, 0], [1000, 500, 500, 250], [1000, 750, 500, 0], [1000, 250, 500, 0]]","[[3815, 2952, 4076, 2645], [3565, 2952, 4076, 2645], [3565, 2952, 3826, 2645], [3315, 2952, 4076, 2645], [3815, 2952, 4076, 2645]]"
P596Fg055_1_P598Fg035_1,P596Fg055_P598Fg035,4,4,4,4,1,P596-Fg055-V-C01-R01-D22012014-T100617-ML638,1266,3306,2246,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1]]","[[250, 250, 1250, 250], [250, 250, 1250, 500], [250, 500, 1250, 250], [250, 500, 1250, 500]]","[[3901, 2667, 3752, 2917], [3901, 2667, 3502, 2917], [3651, 2667, 3752, 2917], [3651, 2667, 3502, 2917]]"
P589Fg001_1_P590Fg015_1,P589Fg001_P590Fg015,21,6,6,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P590-Fg015-V-C01-R01-D14022013-T111212-ML638,1057,3249,1530,"[[True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 0], [True, 3, 0]]","[[1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 500, 250, 250], [1000, 750, 250, 0], [1000, 250, 250, 0], [1000, 750, 250, 0]]","[[3815, 2952, 3805, 2108], [3565, 2952, 3805, 2108], [3565, 2952, 3555, 2108], [3315, 2952, 3805, 2108], [3815, 2952, 3805, 2108], [3315, 2952, 3805, 2108]]"
P589Fg003_1_P598Fg035_1,P589Fg003_P598Fg035,8,8,8,10,3,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 1, 2], [True, 1, 1], [True, 2, 2], [True, 2, 1], [True, 3, 2], [True, 3, 1], [True, 4, 2], [True, 4, 1]]","[[2750, 250, 1250, 250], [2750, 250, 1250, 500], [2750, 500, 1250, 250], [2750, 500, 1250, 500], [2750, 750, 1250, 250], [2750, 750, 1250, 500], [2750, 1000, 1250, 250], [2750, 1000, 1250, 500]]","[[3955, 4011, 3752, 2917], [3955, 4011, 3502, 2917], [3705, 4011, 3752, 2917], [3705, 4011, 3502, 2917], [3455, 4011, 3752, 2917], [3455, 4011, 3502, 2917], [3205, 4011, 3752, 2917], [3205, 4011, 3502, 2917]]"
P589Fg007_1_P593Fg016_0,P589Fg007_P593Fg016,2,2,1,2,1,P589-Fg007-V-C01-R01-D12022013-T122152-ML638,1108,3257,1630,P593-Fg016-V-C01-R01-D31122013-T093806-ML638,1044,2842,1766,"[[False, 0, 2], [False, 1, 3]]","[[1000, 0, 0, 500], [1000, 250, 0, 750]]","[[4066, 3031, 3218, 2398], [3816, 3031, 3218, 2648]]"
P596Fg012_1_P598Fg035_1,P596Fg012_P598Fg035,4,4,4,4,1,P596-Fg012-V-C01-R01-D19012014-T142045-ML638,1132,3362,1630,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[750, 0, 1250, 250], [750, 0, 1250, 500], [750, 250, 1250, 250], [750, 250, 1250, 500]]","[[4086, 2671, 3752, 2917], [4086, 2671, 3502, 2917], [3836, 2671, 3752, 2917], [3836, 2671, 3502, 2917]]"
P589Fg006_1_P597Fg046_1,P589Fg006_P597Fg046,10,10,10,11,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,"[[True, 0, 1], [True, 1, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 4, 1], [True, 4, 0], [True, 5, 1], [True, 6, 1], [True, 7, 1]]","[[3750, 0, 500, 250], [3750, 250, 500, 250], [3750, 500, 500, 0], [3750, 500, 500, 250], [3750, 750, 500, 250], [3750, 1000, 500, 0], [3750, 1000, 500, 250], [3750, 1250, 500, 250], [3750, 1500, 500, 250], [3750, 1750, 500, 250]]","[[5057, 1763, 3460, 2481], [5057, 2013, 3460, 2481], [5057, 2263, 3710, 2481], [5057, 2263, 3460, 2481], [5057, 2513, 3460, 2481], [5057, 2763, 3710, 2481], [5057, 2763, 3460, 2481], [5057, 3013, 3460, 2481], [5057, 3263, 3460, 2481], [5057, 3513, 3460, 2481]]"
P589Fg001_1_P597Fg046_1,P589Fg001_P597Fg046,10,10,10,3,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,"[[True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 3, 1], [True, 3, 0]]","[[1000, 250, 500, 0], [1000, 250, 500, 250], [1000, 500, 500, 0], [1000, 500, 500, 250], [1000, 750, 500, 0], [1000, 750, 500, 250], [1000, 250, 500, 0], [1000, 250, 500, 250], [1000, 500, 500, 250], [1000, 750, 500, 250]]","[[3815, 2952, 3710, 2481], [3815, 2952, 3460, 2481], [3565, 2952, 3710, 2481], [3565, 2952, 3460, 2481], [3315, 2952, 3710, 2481], [3315, 2952, 3460, 2481], [3815, 2952, 3710, 2481], [3815, 2952, 3460, 2481], [3565, 2952, 3460, 2481], [3315, 2952, 3460, 2481]]"
P589Fg011_1_P598Fg017_0,P589Fg011_P598Fg017,2,2,2,2,1,P589-Fg011-V-C01-R01-D12022013-T125637-ML638,1795,2809,2009,P598-Fg017-V-C01-R01-D07012014-T135638-ML638,1025,3219,1688,"[[False, 0, 0], [False, 1, 1]]","[[750, 0, 0, 0], [750, 250, 0, 250]]","[[4250, 2932, 3738, 1835], [4000, 2932, 3488, 1835]]"
P589Fg001_1_P590Fg002_1,P589Fg001_P590Fg002,15,5,5,3,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P590-Fg002-V-C01-R01-D13022013-T140623-ML638,1632,2878,1151,"[[True, 1, 3], [True, 1, 1], [True, 2, 3], [True, 2, 2], [True, 3, 3]]","[[1000, 250, 1250, 750], [1000, 500, 1250, 500], [1000, 500, 1250, 750], [1000, 750, 1250, 750], [1000, 250, 1250, 250]]","[[3815, 2952, 3346, 2658], [3565, 2952, 3596, 2658], [3565, 2952, 3346, 2658], [3315, 2952, 3346, 2658], [3815, 2952, 3846, 2658]]"
P589Fg002_1_P596Fg081_1,P589Fg002_P596Fg081,9,4,3,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P596-Fg081-V-C01-R01-D22012014-T141443-ML638,1149,3346,2091,"[[True, 0, 0], [True, 1, 1], [True, 1, 0], [True, 3, 1]]","[[2500, 0, 250, 0], [2500, 250, 250, 0], [2500, 250, 250, 250], [2500, 750, 250, 250]]","[[4227, 3838, 4012, 2217], [3977, 3838, 4012, 2217], [3977, 3838, 4012, 2467], [3477, 3838, 4012, 2467]]"
P589Fg006_1_P596Fg001_1,P589Fg006_P596Fg001,10,10,9,10,2,P589-Fg006-V-C01-R01-D12022013-T121224-ML638,4192,906,666,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,"[[True, 1, 1], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 4, 1], [True, 4, 0], [True, 5, 0], [True, 6, 1], [True, 7, 1], [True, 7, 0]]","[[3750, 250, 500, 0], [3750, 250, 500, 250], [3750, 500, 500, 0], [3750, 500, 500, 250], [3750, 1000, 500, 0], [3750, 1000, 500, 250], [3750, 1250, 500, 0], [3750, 1500, 500, 250], [3750, 1750, 500, 0], [3750, 1750, 500, 250]]","[[5057, 2013, 3955, 1878], [5057, 2013, 3955, 2128], [5057, 2263, 3955, 1878], [5057, 2263, 3955, 2128], [5057, 2763, 3955, 1878], [5057, 2763, 3955, 2128], [5057, 3013, 3955, 1878], [5057, 3263, 3955, 2128], [5057, 3513, 3955, 1878], [5057, 3513, 3955, 2128]]"
P589Fg003_1_P597Fg046_1,P589Fg003_P597Fg046,7,7,7,5,1,P589-Fg003-V-C01-R01-D12022013-T114238-ML638,1819,2872,1113,P597-Fg046-V-C01-R01-D01122014-T113002-ML638,1038,3247,1879,"[[True, 1, 1], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 4, 1], [True, 4, 1], [True, 4, 0]]","[[2750, 1000, 500, 250], [2750, 250, 500, 250], [2750, 500, 500, 0], [2750, 500, 500, 250], [2750, 750, 500, 250], [2750, 1000, 500, 0], [2750, 1000, 500, 250]]","[[3205, 4011, 3460, 2481], [3955, 4011, 3460, 2481], [3705, 4011, 3710, 2481], [3705, 4011, 3460, 2481], [3455, 4011, 3460, 2481], [3205, 4011, 3710, 2481], [3205, 4011, 3460, 2481]]"
P589Fg002_1_P598Fg007_1,P589Fg002_P598Fg007,28,3,3,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P598-Fg007-V-C01-R01-D07012014-T115107-ML638,2177,2402,1663,"[[True, 0, 4], [True, 1, 5], [True, 1, 4]]","[[2500, 0, 250, 1000], [2500, 250, 250, 1000], [2500, 250, 250, 1250]]","[[4227, 3838, 3308, 2178], [3977, 3838, 3308, 2178], [3977, 3838, 3058, 2178]]"
P589Fg002_1_P598Fg035_1,P589Fg002_P598Fg035,15,15,15,10,4,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 2], [True, 0, 1], [True, 0, 1], [True, 1, 2], [True, 1, 2], [True, 1, 1], [True, 1, 1], [True, 2, 1], [True, 3, 2], [True, 3, 1], [True, 4, 2], [True, 4, 1], [True, 5, 2], [True, 5, 1]]","[[2500, 0, 1250, 250], [2500, 0, 1250, 500], [2500, 250, 1250, 250], [2500, 250, 1250, 500], [2500, 0, 1250, 250], [2500, 0, 1250, 500], [2500, 250, 1250, 250], [2500, 250, 1250, 500], [2500, 500, 1250, 250], [2500, 750, 1250, 250], [2500, 750, 1250, 500], [2500, 1000, 1250, 250], [2500, 1000, 1250, 500], [2500, 1250, 1250, 250], [2500, 1250, 1250, 500]]","[[4227, 3838, 3752, 2917], [4227, 3838, 3502, 2917], [3977, 3838, 3752, 2917], [3977, 3838, 3502, 2917], [4227, 3838, 3752, 2917], [4227, 3838, 3502, 2917], [3977, 3838, 3752, 2917], [3977, 3838, 3502, 2917], [3727, 3838, 3752, 2917], [3477, 3838, 3752, 2917], [3477, 3838, 3502, 2917], [3227, 3838, 3752, 2917], [3227, 3838, 3502, 2917], [2977, 3838, 3752, 2917], [2977, 3838, 3502, 2917]]"
P596Fg056_1_P597Fg053_1,P596Fg056_P597Fg053,3,3,3,3,1,P596-Fg056-V-C01-R01-D22012014-T101455-ML638,1047,3746,2012,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,"[[True, 0, 1], [True, 0, 0], [True, 1, 1]]","[[500, 0, 750, 0], [500, 0, 750, 250], [500, 250, 750, 250]]","[[4183, 2901, 3469, 3001], [4183, 2901, 3219, 3001], [3933, 2901, 3219, 3001]]"
P596Fg044_1_P598Fg035_1,P596Fg044_P598Fg035,4,4,4,4,1,P596-Fg044-V-C01-R01-D20012014-T141552-ML638,1115,3447,1704,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[750, 0, 1250, 250], [750, 0, 1250, 500], [750, 250, 1250, 250], [750, 250, 1250, 500]]","[[4138, 2572, 3752, 2917], [4138, 2572, 3502, 2917], [3888, 2572, 3752, 2917], [3888, 2572, 3502, 2917]]"
P596Fg021_1_P598Fg035_1,P596Fg021_P598Fg035,4,4,4,4,1,P596-Fg021-V-C01-R01-D19012014-T153758-ML638,1224,3148,1747,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3882, 2391, 3752, 2917], [3882, 2391, 3502, 2917], [3632, 2391, 3752, 2917], [3632, 2391, 3502, 2917]]"
P589Fg005_1_P598Fg004_0,P589Fg005_P598Fg004,4,4,4,2,1,P589-Fg005-V-C01-R01-D12022013-T115957-ML638,1377,3104,1706,P598-Fg004-V-C01-R01-D07012014-T112202-ML638,1391,3063,1326,"[[False, 0, 1], [False, 0, 2], [False, 1, 1], [False, 2, 2]]","[[750, 0, 0, 250], [750, 0, 0, 500], [750, 250, 0, 250], [750, 500, 0, 500]]","[[3934, 2857, 3452, 1599], [3934, 2857, 3202, 1599], [3684, 2857, 3452, 1599], [3434, 2857, 3202, 1599]]"
P589Fg001_1_P596Fg081_1,P589Fg001_P596Fg081,9,4,4,4,1,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P596-Fg081-V-C01-R01-D22012014-T141443-ML638,1149,3346,2091,"[[True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 0]]","[[1000, 250, 250, 0], [1000, 500, 250, 0], [1000, 500, 250, 250], [1000, 750, 250, 0]]","[[3815, 2952, 4012, 2217], [3565, 2952, 4012, 2217], [3565, 2952, 4012, 2467], [3315, 2952, 4012, 2217]]"
P589Fg001_1_P596Fg001_1,P589Fg001_P596Fg001,8,8,8,6,2,P589-Fg001-V-C01-R01-D12022013-T111114-ML638,1585,2956,1873,P596-Fg001-V-C01-R01-D19012014-T115843-ML638,1451,3258,1600,"[[True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 1, 0], [True, 2, 1], [True, 2, 0], [True, 3, 1], [True, 3, 0]]","[[1000, 250, 500, 0], [1000, 250, 500, 250], [1000, 500, 500, 0], [1000, 500, 500, 250], [1000, 750, 500, 0], [1000, 750, 500, 250], [1000, 250, 500, 0], [1000, 250, 500, 250]]","[[3815, 2952, 3955, 1878], [3815, 2952, 3955, 2128], [3565, 2952, 3955, 1878], [3565, 2952, 3955, 2128], [3315, 2952, 3955, 1878], [3315, 2952, 3955, 2128], [3815, 2952, 3955, 1878], [3815, 2952, 3955, 2128]]"
P589Fg002_1_P593Fg016_1,P589Fg002_P593Fg016,20,7,6,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P593-Fg016-V-C01-R01-D31122013-T093806-ML638,1044,2842,1766,"[[True, 0, 3], [True, 0, 3], [True, 0, 2], [True, 1, 3], [True, 1, 3], [True, 1, 2], [True, 3, 3]]","[[2500, 0, 250, 500], [2500, 0, 250, 750], [2500, 250, 250, 500], [2500, 250, 250, 750], [2500, 0, 250, 750], [2500, 250, 250, 750], [2500, 750, 250, 750]]","[[4227, 3838, 3468, 2398], [4227, 3838, 3468, 2648], [3977, 3838, 3468, 2398], [3977, 3838, 3468, 2648], [4227, 3838, 3468, 2648], [3977, 3838, 3468, 2648], [3477, 3838, 3468, 2648]]"
P596Fg035_1_P598Fg035_1,P596Fg035_P598Fg035,4,4,4,4,1,P596-Fg035-V-C01-R01-D20012014-T115735-ML638,1038,3334,1637,P598-Fg035-V-C01-R01-D08012014-T114742-ML638,1418,3016,1174,"[[True, 0, 2], [True, 0, 1], [True, 1, 2], [True, 1, 1]]","[[500, 0, 1250, 250], [500, 0, 1250, 500], [500, 250, 1250, 250], [500, 250, 1250, 500]]","[[3923, 2358, 3752, 2917], [3923, 2358, 3502, 2917], [3673, 2358, 3752, 2917], [3673, 2358, 3502, 2917]]"
P589Fg002_1_P590Fg032_1,P589Fg002_P590Fg032,31,15,15,10,4,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P590-Fg032-V-C01-R01-D14022013-T151728-ML638,2284,2640,1143,"[[True, 0, 5], [True, 0, 5], [True, 0, 4], [True, 0, 4], [True, 1, 5], [True, 1, 5], [True, 1, 4], [True, 1, 4], [True, 2, 5], [True, 3, 5], [True, 3, 4], [True, 4, 5], [True, 4, 4], [True, 5, 5], [True, 5, 4]]","[[2500, 0, 1750, 1000], [2500, 0, 1750, 1250], [2500, 250, 1750, 1000], [2500, 250, 1750, 1250], [2500, 0, 1750, 1000], [2500, 0, 1750, 1250], [2500, 250, 1750, 1000], [2500, 250, 1750, 1250], [2500, 500, 1750, 1250], [2500, 750, 1750, 1000], [2500, 750, 1750, 1250], [2500, 1000, 1750, 1000], [2500, 1000, 1750, 1250], [2500, 1250, 1750, 1000], [2500, 1250, 1750, 1250]]","[[4227, 3838, 3242, 3048], [4227, 3838, 2992, 3048], [3977, 3838, 3242, 3048], [3977, 3838, 2992, 3048], [4227, 3838, 3242, 3048], [4227, 3838, 2992, 3048], [3977, 3838, 3242, 3048], [3977, 3838, 2992, 3048], [3727, 3838, 2992, 3048], [3477, 3838, 3242, 3048], [3477, 3838, 2992, 3048], [3227, 3838, 3242, 3048], [3227, 3838, 2992, 3048], [2977, 3838, 3242, 3048], [2977, 3838, 2992, 3048]]"
P589Fg002_1_P597Fg053_1,P589Fg002_P597Fg053,9,9,8,3,1,P589-Fg002-V-C01-R01-D12022013-T112400-ML638,2252,2731,934,P597-Fg053-V-C01-R01-D01122014-T131604-ML638,1044,3493,1655,"[[True, 0, 1], [True, 0, 1], [True, 0, 0], [True, 1, 1], [True, 1, 1], [True, 1, 0], [True, 3, 1], [True, 4, 1], [True, 5, 1]]","[[2500, 0, 750, 0], [2500, 0, 750, 250], [2500, 250, 750, 0], [2500, 250, 750, 250], [2500, 0, 750, 250], [2500, 250, 750, 250], [2500, 750, 750, 250], [2500, 1000, 750, 250], [2500, 1250, 750, 250]]","[[4227, 3838, 3469, 3001], [4227, 3838, 3219, 3001], [3977, 3838, 3469, 3001], [3977, 3838, 3219, 3001], [4227, 3838, 3219, 3001], [3977, 3838, 3219, 3001], [3477, 3838, 3219, 3001], [3227, 3838, 3219, 3001], [2977, 3838, 3219, 3001]]"
