fragmanetAndSide,fragment,class,fragmentVote,fragmentAndSideVote,fragmentAndSideTrendVote,fragmentAndSideTrendVoteStrict,fragmentAndSideTrendVoteSync,fragmentAndSideTrend,fragmentAndSideCubes,origCoordinates
PX303Fg006_5X3_2X2_0_PX303Fg006_5X3_4X0_0,PX303Fg006_5X3_2X2_PX303Fg006_5X3_4X0,0,44,1,0,0,0,"[[False, 3, 0]]","[[0, 863, 0, 50]]",[]
PX303Fg006_6X3_0X2_4_PX303Fg006_6X3_1X0_3,PX303Fg006_6X3_0X2_PX303Fg006_6X3_1X0,0,53,2,1,0,0,"[[False, 0, 0], [False, 3, 0]]","[[1000, 50, 750, 50], [1000, 864, 750, 50]]",[]
PX303Fg006_5X4_0X3_3_PX303Fg006_5X4_1X3_3,PX303Fg006_5X4_0X3_PX303Fg006_5X4_1X3,0,44,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[750, 50, 750, 50], [750, 675, 750, 50]]",[]
PX303Fg006_6X4_1X0_2_PX303Fg006_6X4_3X2_3,PX303Fg006_6X4_1X0_PX303Fg006_6X4_3X2,0,9,1,0,0,0,"[[False, 3, 0]]","[[500, 967, 750, 50]]",[]
PX303Fg006_5X4_0X0_2_PX303Fg006_5X4_4X3_1,PX303Fg006_5X4_0X0_PX303Fg006_5X4_4X3,0,27,3,0,2,1,"[[False, 0, 3], [False, 3, 0], [False, 3, 3]]","[[500, 867, 250, 50], [500, 50, 250, 934], [500, 867, 250, 934]]",[]
PX303Fg006_6X3_2X0_0_PX303Fg006_6X3_4X2_3,PX303Fg006_6X3_2X0_PX303Fg006_6X3_4X2,0,31,2,0,2,1,"[[False, 3, 0], [False, 3, 3]]","[[0, 917, 750, 50], [0, 917, 750, 806]]",[]
PX303Fg006_5X4_3X1_3_PX303Fg006_5X4_4X3_1,PX303Fg006_5X4_3X1_PX303Fg006_5X4_4X3,0,15,2,0,2,1,"[[False, 6, 0], [False, 6, 3]]","[[750, 1589, 250, 934], [750, 1589, 250, 50]]",[]
PX303Fg006_4X4_0X0_3_PX303Fg006_4X4_2X0_3,PX303Fg006_4X4_0X0_PX303Fg006_4X4_2X0,0,18,2,1,0,0,"[[False, 0, 0], [False, 0, 6]]","[[750, 50, 750, 50], [750, 50, 750, 1571]]",[]
PX303Fg006_5X3_0X0_3_PX303Fg006_5X3_2X1_2,PX303Fg006_5X3_0X0_PX303Fg006_5X3_2X1,0,12,1,0,0,0,"[[False, 3, 0]]","[[750, 973, 500, 50]]",[]
PX303Fg006_4X4_0X0_2_PX303Fg006_4X4_1X3_2,PX303Fg006_4X4_0X0_PX303Fg006_4X4_1X3,0,21,2,1,2,1,"[[False, 0, 0], [False, 4, 0]]","[[500, 1114, 500, 50], [500, 50, 500, 50]]",[]
PX303Fg006_6X3_0X2_3_PX303Fg006_6X3_4X1_2,PX303Fg006_6X3_0X2_PX303Fg006_6X3_4X1,0,17,2,1,2,1,"[[False, 0, 0], [False, 3, 0]]","[[750, 864, 500, 50], [750, 50, 500, 50]]",[]
PX303Fg006_5X4_2X1_1_PX303Fg006_5X4_4X1_1,PX303Fg006_5X4_2X1_PX303Fg006_5X4_4X1,0,18,4,1,6,3,"[[False, 0, 0], [False, 0, 3], [False, 3, 0], [False, 3, 3]]","[[250, 50, 250, 811], [250, 758, 250, 811], [250, 50, 250, 50], [250, 758, 250, 50]]",[]
PX303Fg006_4X3_0X2_2_PX303Fg006_4X3_3X2_4,PX303Fg006_4X3_0X2_PX303Fg006_4X3_3X2,0,30,3,1,4,2,"[[False, 0, 0], [False, 4, 0], [False, 4, 4]]","[[500, 1094, 1000, 50], [500, 1094, 1000, 1238], [500, 50, 1000, 50]]",[]
PX303Fg006_6X4_1X0_0_PX303Fg006_6X4_3X3_2,PX303Fg006_6X4_1X0_PX303Fg006_6X4_3X3,0,14,1,1,0,0,"[[False, 0, 0]]","[[0, 50, 500, 50]]",[]
PX303Fg006_5X3_0X0_1_PX303Fg006_5X3_3X2_1,PX303Fg006_5X3_0X0_PX303Fg006_5X3_3X2,0,40,2,1,2,1,"[[False, 0, 0], [False, 3, 0]]","[[250, 50, 250, 50], [250, 973, 250, 50]]",[]
PX303Fg006_5X3_1X1_2_PX303Fg006_5X3_2X0_3,PX303Fg006_5X3_1X1_PX303Fg006_5X3_2X0,0,6,1,1,0,0,"[[False, 0, 0]]","[[500, 50, 750, 50]]",[]
PX303Fg006_5X4_3X1_3_PX303Fg006_5X4_4X1_2,PX303Fg006_5X4_3X1_PX303Fg006_5X4_4X1,0,20,1,0,0,0,"[[False, 6, 3]]","[[750, 1589, 500, 811]]",[]
PX303Fg006_4X3_2X2_3_PX303Fg006_4X3_3X1_3,PX303Fg006_4X3_2X2_PX303Fg006_4X3_3X1,0,42,4,1,4,2,"[[False, 0, 0], [False, 0, 4], [False, 5, 0], [False, 5, 4]]","[[750, 1445, 750, 1111], [750, 1445, 750, 50], [750, 50, 750, 1111], [750, 50, 750, 50]]",[]
PX303Fg006_6X3_3X2_1_PX303Fg006_6X3_5X0_4,PX303Fg006_6X3_3X2_PX303Fg006_6X3_5X0,0,37,2,0,2,1,"[[False, 0, 2], [False, 4, 2]]","[[250, 1167, 1000, 667], [250, 50, 1000, 667]]",[]
PX303Fg006_6X3_0X1_1_PX303Fg006_6X3_1X2_0,PX303Fg006_6X3_0X1_PX303Fg006_6X3_1X2,0,19,1,0,0,0,"[[False, 3, 0]]","[[250, 796, 0, 50]]",[]
PX303Fg006_6X3_3X0_2_PX303Fg006_6X3_5X1_3,PX303Fg006_6X3_3X0_PX303Fg006_6X3_5X1,0,46,2,0,2,1,"[[False, 3, 0], [False, 3, 2]]","[[500, 815, 750, 50], [500, 815, 750, 636]]",[]
PX303Fg006_6X3_4X2_3_PX303Fg006_6X3_5X1_0,PX303Fg006_6X3_4X2_PX303Fg006_6X3_5X1,0,56,1,0,0,0,"[[False, 3, 0]]","[[750, 806, 0, 50]]",[]
PX303Fg006_6X3_3X2_1_PX303Fg006_6X3_5X0_3,PX303Fg006_6X3_3X2_PX303Fg006_6X3_5X0,0,37,1,0,0,0,"[[False, 0, 2]]","[[250, 50, 750, 667]]",[]
PX303Fg006_5X4_0X3_3_PX303Fg006_5X4_3X0_1,PX303Fg006_5X4_0X3_PX303Fg006_5X4_3X0,0,27,2,1,2,1,"[[False, 0, 0], [False, 2, 0]]","[[750, 675, 250, 50], [750, 50, 250, 50]]",[]
PX303Fg006_4X3_0X0_1_PX303Fg006_4X3_3X1_2,PX303Fg006_4X3_0X0_PX303Fg006_4X3_3X1,0,51,3,1,4,2,"[[False, 0, 0], [False, 0, 4], [False, 4, 0]]","[[250, 1191, 500, 50], [250, 50, 500, 50], [250, 50, 500, 1111]]",[]
PX303Fg006_5X4_2X0_2_PX303Fg006_5X4_3X2_0,PX303Fg006_5X4_2X0_PX303Fg006_5X4_3X2,0,16,1,0,0,0,"[[False, 4, 0]]","[[500, 1060, 0, 50]]",[]
PX303Fg006_4X3_0X0_3_PX303Fg006_4X3_2X2_3,PX303Fg006_4X3_0X0_PX303Fg006_4X3_2X2,0,31,1,0,0,0,"[[False, 4, 0]]","[[750, 1191, 750, 50]]",[]
PX303Fg006_5X3_0X1_5_PX303Fg006_5X3_3X1_4,PX303Fg006_5X3_0X1_PX303Fg006_5X3_3X1,0,39,4,1,0,0,"[[False, 0, 0], [False, 0, 4], [False, 3, 0], [False, 3, 4]]","[[1250, 50, 1000, 50], [1250, 864, 1000, 1184], [1250, 864, 1000, 50], [1250, 50, 1000, 1184]]",[]
PX303Fg006_4X4_1X1_3_PX303Fg006_4X4_2X1_2,PX303Fg006_4X4_1X1_PX303Fg006_4X4_2X1,1,23,1,0,0,0,"[[False, 6, 0]]","[[750, 1679, 500, 50]]",[]
PX303Fg006_5X4_1X1_2_PX303Fg006_5X4_2X1_0,PX303Fg006_5X4_1X1_PX303Fg006_5X4_2X1,0,20,4,2,6,3,"[[False, 4, 0], [False, 4, 0], [False, 4, 0], [False, 4, 3]]","[[500, 1118, 0, 758], [500, 1118, 0, 50], [580, 1118, 80, 50], [670, 1118, 170, 50]]",[]
PX303Fg006_5X4_0X2_3_PX303Fg006_5X4_4X1_3,PX303Fg006_5X4_0X2_PX303Fg006_5X4_4X1,0,14,2,0,2,1,"[[False, 0, 3], [False, 3, 3]]","[[750, 764, 750, 811], [750, 50, 750, 811]]",[]
PX303Fg006_4X4_0X1_1_PX303Fg006_4X4_2X0_3,PX303Fg006_4X4_0X1_PX303Fg006_4X4_2X0,0,18,4,1,6,3,"[[False, 0, 0], [False, 0, 6], [False, 3, 0], [False, 3, 6]]","[[250, 891, 750, 1571], [250, 50, 750, 1571], [250, 891, 750, 50], [250, 50, 750, 50]]",[]
PX303Fg006_4X4_1X1_2_PX303Fg006_4X4_3X2_1,PX303Fg006_4X4_1X1_PX303Fg006_4X4_3X2,0,12,3,1,2,1,"[[False, 0, 0], [False, 6, 0], [False, 6, 4]]","[[500, 50, 250, 50], [500, 1679, 250, 1028], [500, 1679, 250, 50]]",[]
PX303Fg006_5X3_3X2_2_PX303Fg006_5X3_4X1_1,PX303Fg006_5X3_3X2_PX303Fg006_5X3_4X1,0,46,4,1,4,2,"[[False, 0, 0], [False, 0, 3], [False, 4, 0], [False, 4, 3]]","[[500, 1038, 250, 909], [500, 1038, 250, 50], [500, 50, 250, 50], [500, 50, 250, 909]]",[]
PX303Fg006_5X3_1X2_1_PX303Fg006_5X3_4X1_2,PX303Fg006_5X3_1X2_PX303Fg006_5X3_4X1,0,60,2,0,2,1,"[[False, 4, 0], [False, 4, 3]]","[[250, 1146, 500, 909], [250, 1146, 500, 50]]",[]
PX303Fg006_5X4_1X1_3_PX303Fg006_5X4_4X1_2,PX303Fg006_5X4_1X1_PX303Fg006_5X4_4X1,0,19,2,0,2,1,"[[False, 0, 3], [False, 4, 3]]","[[750, 1118, 500, 811], [750, 50, 500, 811]]",[]
PX303Fg006_5X3_0X1_5_PX303Fg006_5X3_1X1_3,PX303Fg006_5X3_0X1_PX303Fg006_5X3_1X1,0,42,2,0,0,0,"[[False, 0, 3], [False, 3, 3]]","[[1250, 50, 750, 956], [1250, 864, 750, 956]]",[]
PX303Fg006_6X3_1X0_0_PX303Fg006_6X3_5X2_3,PX303Fg006_6X3_1X0_PX303Fg006_6X3_5X2,0,49,4,1,6,3,"[[False, 0, 0], [False, 0, 2], [False, 3, 0], [False, 3, 2]]","[[0, 773, 750, 606], [0, 773, 750, 50], [0, 50, 750, 606], [0, 50, 750, 50]]",[]
PX303Fg006_4X3_1X1_0_PX303Fg006_4X3_3X2_2,PX303Fg006_4X3_1X1_PX303Fg006_4X3_3X2,0,17,1,0,0,0,"[[False, 5, 4]]","[[0, 1323, 500, 1238]]",[]
PX303Fg006_6X4_1X3_1_PX303Fg006_6X4_4X0_1,PX303Fg006_6X4_1X3_PX303Fg006_6X4_4X0,0,16,1,0,0,0,"[[False, 5, 0]]","[[250, 1383, 250, 50]]",[]
PX303Fg006_5X4_2X2_2_PX303Fg006_5X4_4X0_1,PX303Fg006_5X4_2X2_PX303Fg006_5X4_4X0,0,15,2,0,2,1,"[[False, 2, 0], [False, 2, 3]]","[[500, 609, 250, 50], [500, 609, 250, 859]]",[]
PX303Fg006_5X3_0X1_5_PX303Fg006_5X3_2X0_0,PX303Fg006_5X3_0X1_PX303Fg006_5X3_2X0,0,24,1,0,0,0,"[[False, 3, 4]]","[[1250, 864, 0, 1001]]",[]
PX303Fg006_4X3_1X1_2_PX303Fg006_4X3_3X2_2,PX303Fg006_4X3_1X1_PX303Fg006_4X3_3X2,0,17,1,0,0,0,"[[False, 5, 4]]","[[500, 1323, 500, 1238]]",[]
PX303Fg006_6X4_1X3_0_PX303Fg006_6X4_2X0_1,PX303Fg006_6X4_1X3_PX303Fg006_6X4_2X0,0,9,2,1,2,1,"[[False, 0, 0], [False, 5, 0]]","[[0, 1383, 250, 50], [0, 50, 250, 50]]",[]
PX303Fg006_6X3_0X0_1_PX303Fg006_6X3_1X2_2,PX303Fg006_6X3_0X0_PX303Fg006_6X3_1X2,0,39,3,1,4,2,"[[False, 0, 0], [False, 2, 0], [False, 2, 3]]","[[250, 50, 500, 50], [250, 706, 500, 50], [250, 706, 500, 982]]",[]
PX303Fg006_6X4_0X3_3_PX303Fg006_6X4_5X2_1,PX303Fg006_6X4_0X3_PX303Fg006_6X4_5X2,0,15,2,1,2,1,"[[False, 0, 0], [False, 2, 0]]","[[750, 581, 250, 50], [750, 50, 250, 50]]",[]
PX303Fg006_6X3_3X0_3_PX303Fg006_6X3_5X0_3,PX303Fg006_6X3_3X0_PX303Fg006_6X3_5X0,0,29,1,0,0,0,"[[False, 0, 2]]","[[750, 50, 750, 667]]",[]
PX303Fg006_6X3_2X1_1_PX303Fg006_6X3_3X0_1,PX303Fg006_6X3_2X1_PX303Fg006_6X3_3X0,0,16,3,1,4,2,"[[False, 0, 0], [False, 3, 0], [False, 3, 3]]","[[250, 890, 250, 50], [250, 890, 250, 815], [250, 50, 250, 50]]",[]
PX303Fg006_5X4_2X3_2_PX303Fg006_5X4_3X2_3,PX303Fg006_5X4_2X3_PX303Fg006_5X4_3X2,0,14,2,1,2,1,"[[False, 0, 0], [False, 2, 0]]","[[500, 511, 750, 50], [500, 50, 750, 50]]",[]
PX303Fg006_5X3_0X0_1_PX303Fg006_5X3_2X0_3,PX303Fg006_5X3_0X0_PX303Fg006_5X3_2X0,0,29,3,1,4,2,"[[False, 0, 0], [False, 3, 0], [False, 3, 4]]","[[250, 973, 750, 1001], [250, 50, 750, 50], [250, 973, 750, 50]]",[]
PX303Fg006_4X4_1X0_2_PX303Fg006_4X4_3X3_3,PX303Fg006_4X4_1X0_PX303Fg006_4X4_3X3,0,21,2,0,2,1,"[[False, 5, 0], [False, 5, 3]]","[[500, 1437, 750, 771], [500, 1437, 750, 50]]",[]
PX303Fg006_4X4_1X2_3_PX303Fg006_4X4_3X0_3,PX303Fg006_4X4_1X2_PX303Fg006_4X4_3X0,0,13,1,0,0,0,"[[False, 7, 4]]","[[750, 1860, 750, 1144]]",[]
PX303Fg006_6X4_0X3_3_PX303Fg006_6X4_3X0_3,PX303Fg006_6X4_0X3_PX303Fg006_6X4_3X0,0,24,2,1,0,0,"[[False, 0, 0], [False, 2, 0]]","[[750, 50, 750, 50], [750, 581, 750, 50]]",[]
PX303Fg006_6X3_3X1_3_PX303Fg006_6X3_5X1_3,PX303Fg006_6X3_3X1_PX303Fg006_6X3_5X1,0,29,2,0,2,1,"[[False, 4, 0], [False, 4, 2]]","[[750, 1082, 750, 636], [750, 1082, 750, 50]]",[]
PX303Fg006_6X4_1X0_2_PX303Fg006_6X4_2X2_2,PX303Fg006_6X4_1X0_PX303Fg006_6X4_2X2,0,12,1,0,0,0,"[[False, 3, 1]]","[[500, 967, 500, 410]]",[]
PX303Fg006_5X3_1X0_0_PX303Fg006_5X3_3X1_4,PX303Fg006_5X3_1X0_PX303Fg006_5X3_3X1,0,36,3,1,4,2,"[[False, 0, 0], [False, 3, 0], [False, 3, 4]]","[[0, 951, 1000, 1184], [0, 50, 1000, 50], [0, 951, 1000, 50]]",[]
PX303Fg006_5X3_2X1_2_PX303Fg006_5X3_4X0_1,PX303Fg006_5X3_2X1_PX303Fg006_5X3_4X0,0,21,2,0,2,1,"[[False, 4, 0], [False, 4, 3]]","[[500, 1031, 250, 937], [500, 1031, 250, 50]]",[]
PX303Fg006_6X4_4X0_3_PX303Fg006_6X4_5X0_2,PX303Fg006_6X4_4X0_PX303Fg006_6X4_5X0,0,59,2,0,2,1,"[[False, 2, 0], [False, 2, 2]]","[[750, 749, 500, 726], [750, 749, 500, 50]]",[]
PX303Fg006_4X4_0X3_2_PX303Fg006_4X4_3X3_1,PX303Fg006_4X4_0X3_PX303Fg006_4X4_3X3,0,34,3,0,2,1,"[[False, 0, 3], [False, 3, 0], [False, 3, 3]]","[[500, 854, 250, 50], [500, 50, 250, 771], [500, 854, 250, 771]]",[]
PX303Fg006_4X4_1X1_2_PX303Fg006_4X4_2X1_0,PX303Fg006_4X4_1X1_PX303Fg006_4X4_2X1,0,23,4,3,4,2,"[[False, 0, 0], [False, 6, 0], [False, 6, 0], [False, 6, 0]]","[[500, 50, 0, 50], [500, 1679, 0, 50], [580, 1679, 80, 50], [670, 1679, 170, 50]]",[]
PX303Fg006_6X3_1X2_1_PX303Fg006_6X3_3X0_0,PX303Fg006_6X3_1X2_PX303Fg006_6X3_3X0,0,36,1,1,0,0,"[[False, 0, 0]]","[[250, 50, 0, 50]]",[]
PX303Fg006_5X4_2X3_3_PX303Fg006_5X4_4X2_3,PX303Fg006_5X4_2X3_PX303Fg006_5X4_4X2,0,22,1,0,0,0,"[[False, 2, 0]]","[[750, 511, 750, 50]]",[]
PX303Fg006_6X4_3X1_3_PX303Fg006_6X4_5X2_1,PX303Fg006_6X4_3X1_PX303Fg006_6X4_5X2,0,11,2,0,2,1,"[[False, 4, 0], [False, 4, 3]]","[[750, 1025, 250, 50], [750, 1025, 250, 896]]",[]
PX303Fg006_5X3_0X2_2_PX303Fg006_5X3_4X0_4,PX303Fg006_5X3_0X2_PX303Fg006_5X3_4X0,0,64,2,0,2,1,"[[False, 0, 3], [False, 2, 3]]","[[500, 738, 1000, 937], [500, 50, 1000, 937]]",[]
PX303Fg006_6X3_1X1_2_PX303Fg006_6X3_2X2_3,PX303Fg006_6X3_1X1_PX303Fg006_6X3_2X2,0,15,1,0,0,0,"[[False, 2, 1]]","[[500, 655, 750, 412]]",[]
PX303Fg006_4X4_0X3_0_PX303Fg006_4X4_2X3_2,PX303Fg006_4X4_0X3_PX303Fg006_4X4_2X3,0,21,2,1,2,1,"[[False, 0, 0], [False, 3, 0]]","[[0, 854, 500, 50], [0, 50, 500, 50]]",[]
PX303Fg006_5X4_2X0_1_PX303Fg006_5X4_3X1_3,PX303Fg006_5X4_2X0_PX303Fg006_5X4_3X1,0,14,2,0,2,1,"[[False, 4, 0], [False, 4, 6]]","[[250, 1060, 750, 1589], [250, 1060, 750, 50]]",[]
